-8.461150321431523125e+00,-9.502210864208674224e+00,-1.695294196862733571e+01,-1.086357668511432806e+01,-2.403969509313994735e+01,-2.341598504944371584e+01,-1.745500003043451898e+01,-7.235023273300393853e+00,-8.952756406396312983e+00,-1.125242097190831636e+01,-3.277092862721654143e+01,-1.511744628200445817e+01
-1.089863544716453525e+01,-8.173330050087892928e+00,-8.382201228361678247e+00,-1.268919026791471083e+01,-1.686746360950255763e+01,-1.493181193750911895e+01,-1.754071361972754062e+01,-6.949168070235026917e+00,-1.707983159085107872e+01,-2.737228048615236276e+01,-7.981921537089430529e+00,-1.487179253927327593e+01
-1.788450555534194208e+01,-2.095686468215893683e+01,-1.485700933910779753e+01,-1.289635355277022200e+01,-1.465015966178086870e+01,-1.277376851901245658e+01,-1.311869346893660015e+01,-9.295164825557446164e+00,-1.558811854364791749e+01,-1.694775156789662418e+01,-1.023752133207235460e+01,-1.837426922384425154e+01
-2.088527375234595951e+01,-1.621444744026964813e+01,-2.931815942642547768e+01,-9.014228034609262252e+00,-3.279018432378814651e+01,-1.567403189500162597e+01,-1.147472373282040436e+01,-8.765470454024635316e+00,-8.444520030359075946e+00,-1.929493379225270289e+01,-1.385109770100562798e+01,-2.061962658272250692e+01
-1.805569047322835985e+01,-1.922164923578050733e+01,-1.844136231056772957e+01,-7.645551818430855739e+00,-3.357300806125750370e+01,-2.507529552377098625e+01,-1.117626799209388899e+01,-1.016047761160972129e+01,-5.848034252162415569e+00,-1.095061287980618303e+01,-1.093657784311363024e+01,-1.598136694824596304e+01
-1.824781124562700896e+01,-1.864306513387342079e+01,-1.436894129314747204e+01,-8.667519945393012293e+00,-2.521623724566394387e+01,-2.760193553657214238e+01,-1.292550977826243042e+01,-1.717614697143975988e+01,-4.977829079554949132e+00,-1.914004016069010561e+01,-1.487589968953363240e+01,-9.797776884677389830e+00
-1.406719366046603348e+01,-1.377783670240071423e+01,-1.996716442977860595e+01,-8.590336358899648417e+00,-2.652011162326423488e+01,-1.773018272012017960e+01,-2.643553692687206791e+01,-1.813995082534433578e+01,-8.901563469033282772e+00,-6.437772056223042050e+00,-1.176947010768579460e+01,-1.077222032709797972e+01
-1.327051579358207078e+01,-1.409405087153993463e+01,-1.900861936404538000e+01,-7.631156600263746981e+00,-1.842998156690930500e+01,-1.068786221268899439e+01,-8.386763693732627090e+00,-1.076579909417840852e+01,-1.326352274614356475e+01,-1.181780081016797546e+01,-1.533885857689813648e+01,-1.590820377788773499e+01
-1.446798504642737448e+01,-9.735930363306518842e+00,-1.859330743588054702e+01,-9.925396725748962368e+00,-1.340299543026543105e+01,-8.327305467920245619e+00,-6.569624600473282783e+00,-8.916966262230548779e+00,-8.081533356932284917e+00,-1.988621973737942383e+01,-9.503659406432745982e+00,-1.688839510791702025e+01
-1.674106582628406770e+01,-1.334521630807687842e+01,-1.310965112457316017e+01,-1.957084848098530472e+01,-1.110043662518984675e+01,-1.113014273329825699e+01,-9.664695496032402744e+00,-7.060069421868659489e+00,-9.515955775748665246e+00,-1.139356666715750777e+01,-1.070884349660099133e+01,-8.460204832884391735e+00
-9.535434085193786657e+00,-8.852166649358363060e+00,-2.151398052842435504e+01,-1.228116335737867537e+01,-1.418312722631742950e+01,-1.701682640730885510e+01,-9.488812498861875611e+00,-9.710010447661867161e+00,-1.812756448357508177e+01,-1.060234340950784926e+01,-7.933812419902884550e+00,-8.666637588401806980e+00
-1.367828793968726586e+01,-9.382929479676958451e+00,-1.278426912965702300e+01,-2.373929413999249860e+01,-1.123033764218632591e+01,-2.108365084909097931e+01,-1.534179160394685759e+01,-6.942252930173959946e+00,-1.739766037876242422e+01,-1.223780562635129954e+01,-1.050207960010003205e+01,-2.086398265011236930e+01
-1.751409366997611983e+01,-1.645798674724545663e+01,-1.457114581007994225e+01,-1.133696412134725406e+01,-1.379525339159825137e+01,-2.128828416675454349e+01,-1.166878553708130895e+01,-4.713247999502966579e+00,-1.043304123096560332e+01,-9.269852142784641202e+00,-2.382402059585091436e+01,-1.254329602419879386e+01
-1.403828395384232586e+01,-2.150927828937966524e+01,-2.056196756667323200e+01,-1.298372344219149355e+01,-2.142267341403033853e+01,-1.720090705719905344e+01,-1.255417365169145327e+01,-7.570750950845797078e+00,-1.535497826828126833e+01,-6.221342252527874095e+00,-1.424596558196091500e+01,-1.223839773681157794e+01
