-2.519896311073690498e+01,-2.027581593340428157e+01,-3.598729020328576667e+01,-1.252468961277216586e+01,-1.995123379788129370e+01,-2.199907012693957498e+01,-1.052393588910057964e+01,-1.669677056402551685e+01,-1.728708101901438710e+01,-2.149692298075303398e+01,-2.528745622370657031e+01,-2.032726255543975569e+01,-2.698298178269918779e+01,-1.763599278072927490e+01,-1.341050302822163687e+01,-2.884729572745633419e+01,-1.672634740031056921e+01,-1.686933064647649871e+01,-1.636745176997602158e+01,-2.696525988300947674e+01,-2.012683800722277283e+01,-1.882135382623986430e+01,-2.506299574738011415e+01,-1.597366039122695192e+01,-3.277389795055982091e+01,-2.394449880309662859e+01,-1.528489725666259069e+01,-1.758879721708631649e+01,-1.577304025257167908e+01
-3.197268463202960476e+01,-3.749423003551388689e+01,-2.800546876479090486e+01,-1.305763332528841758e+01,-1.209422803773068722e+01,-1.126672245984167020e+01,-9.934968510347708559e+00,-1.477100896813831277e+01,-6.560568600474592671e+00,-1.545313038679921824e+01,-1.691025495094299202e+01,-1.808778671648021685e+01,-7.099475770449283019e+00,-1.004067957961151514e+01,-1.354080914433142979e+01,-1.457487483669031469e+01,-2.172482744663590282e+01,-3.258722088975040521e+01,-1.001057319386444178e+01,-1.826158817067682705e+01,-1.269587369083212458e+01,-1.666445003970927630e+01,-8.534324252297395219e+00,-1.982456151413794387e+01,-1.083200057326396148e+01,-8.896134468035793219e+00,-8.291571576473463878e+00,-9.194967849012357419e+00,-1.420218529615170056e+01
-1.759226864984709948e+01,-1.415552936088563030e+01,-1.473769610621660675e+01,-1.501154536879004908e+01,-1.356987882621974961e+01,-6.442659959114703128e+00,-2.308949314028304656e+01,-1.040918515835260294e+01,-1.354994181355906235e+01,-2.084699625286477698e+01,-2.220318990708359053e+01,-7.589996869989210637e+00,-4.169210385842280431e+00,-1.175083692305245719e+01,-1.033753310436732775e+01,-3.627957856832148664e+00,-1.312990983251035537e+01,-1.864321115083798830e+01,-2.771592369236619646e+01,-1.833479860940486361e+01,-1.330389251887593005e+01,-7.403222646477694902e+00,-7.968178182267822152e+00,-3.790649357655496487e+00,-2.782968741551255931e+01,5.219348130263269381e-01,-4.278583273962831335e+00,-6.391752580223657887e+00,-1.788020340381018869e+01
-1.909394905822262700e+01,-1.224434593172737173e+01,-1.211335404718731823e+01,-6.027258410682650336e+00,-8.246968933042246874e+00,-4.262340893276545195e+00,-1.187951016368884716e+01,-1.631177237484951092e+01,-3.131341103682949623e+01,-6.085986410866687457e+00,-9.829876718772135646e+00,-4.777045059045970099e+00,-1.093181309796877088e+01,-8.943466345241228410e+00,-1.039421659171175705e+01,-7.286301690151643307e+00,-2.590433364644105119e+00,-7.876880985267892044e+00,-1.765991312281985870e+01,-9.851169728918030444e+00,-8.869586207728271887e+00,-1.291022521455857586e+01,-2.206640237249308356e+00,-7.279569882718471163e+00,-7.897275735142242681e+00,-2.159071716219490789e+00,-1.748886417530629345e+01,-2.417285628715416301e+00,-1.314304349521678006e+01
-1.272739933369848586e+01,-2.910358482421510473e+01,-6.079565327360903382e+00,-3.767967112209118952e+00,-8.680630637158799345e+00,-3.893650954302432243e+00,-1.211666520103529976e+01,-1.708125851192732370e+01,-1.085558429025499372e+01,-4.547533376055977072e+00,-5.885595521289013199e+00,-2.491716084953002674e+00,-7.981748645539489928e+00,-8.169787680639728933e+00,-9.727336259807405128e+00,-9.321228514192924308e+00,-4.042987742128143935e+00,-7.410150248256229588e+00,-6.971208834820046718e+00,-1.096018470692758484e+01,2.324547376165999601e-01,1.664793287265790012e+00,-1.066417837025301907e+01,-7.546411320085040231e+00,-3.533695254656876727e+00,-9.809709301889595778e+00,-5.562285624636088777e+00,-6.784136149573276597e+00,-1.641389958196502619e+01
-1.706985270792942799e+01,-1.441725974991597425e+01,-8.973978481435203491e+00,-3.472504007855549135e-01,-1.299576990752703942e+01,-2.826208436408736091e+00,-8.498567136507681141e+00,-1.005707510823988926e+01,-1.466532210753969778e+01,-3.850416576130319402e-01,-6.030973094967116976e-01,-4.209496642138617517e+00,-9.138505650461549834e+00,-6.024951034613135192e+00,3.479826130245373128e-01,-1.853017503776003139e+01,-9.364988119656777243e+00,-3.939414690708389788e+00,-1.091156266667179153e+01,-1.030227801392719300e+01,-3.034196499319767870e+00,-3.535296551506788010e+00,-5.286756900228837708e+00,-1.720563795764237014e+01,-3.952529338005506432e+00,-1.849277761339406911e+00,-8.566133936252506853e-01,-6.369623923707990798e+00,-1.096255836339050660e+01
-1.319080306773232358e+01,-1.929622754586824840e+01,-1.353546076088155026e+01,-4.278445477760090654e+00,-1.143335717210231373e+01,-1.922270046028072554e-01,-6.899036742101625208e+00,-8.398607238316248669e+00,-8.305906604363222812e+00,-1.564846708727808178e+01,2.090089563659384697e-01,-3.773597677843530285e+00,-4.165426239029931033e+00,-3.075170110525579759e+00,-6.895755798995235608e+00,-8.158566366369701228e+00,-5.570005926262970419e+00,-4.735712760817404110e+00,-1.023981419325087749e+01,-6.136982552765526400e+00,-1.708552847578011935e+01,-7.798374576236188460e+00,-7.949177778782065218e+00,-8.480029081050815876e+00,-7.715673754316546784e+00,-5.025310811980422621e+00,-1.530444424630384148e+01,-1.216446117187570763e+01,-1.240720149171982634e+01
-1.321177390385410177e+01,-1.185226677737506051e+01,-2.615797587513822720e+01,-7.598591561125528138e+00,-1.544393835949712113e+01,-1.128402774328591818e+01,-6.398904785837523868e+00,-1.710032353123114746e+01,-2.917401836199001064e+00,-6.687778862976083261e+00,-1.640561183315523053e+01,-1.401738090632145717e+00,-1.296676928547687879e+01,-5.848672725119595128e+00,-7.696647151088384931e+00,-2.585989472820591217e+01,-3.205183066695018734e+00,-2.117260514691716722e+01,-8.785957566547160980e+00,-3.168931444212069515e+00,-1.183545798066453258e+01,-4.506424907977264027e+00,-2.370831474992927568e+00,-5.108480739109795721e+00,-5.577497289456802010e-01,-2.968170743987947802e+01,-1.243025906782289347e+01,-1.324952027802445897e+01,-5.690973442991234421e+00
-1.627597625461736897e+01,-1.184664173339348814e+01,-1.664718771526149865e+01,-4.426716162701874069e+00,-3.388550976966690165e+00,-4.722865065524931794e+00,-1.170197810998650567e+01,-3.036903260978476027e+01,-3.505927568214830536e+00,-1.807245438629998446e+01,-2.776188655277023187e+00,-9.033375845517875646e+00,-4.976883062876216179e+00,-9.104888126213497301e+00,-1.661951306794968275e+01,-1.759887929319692290e+00,-1.370909211386234894e+01,-9.750290479162583068e+00,-4.666753543270257154e+00,-1.828658255530137922e+01,-1.666866631239283025e+00,-9.895807206595732097e+00,-5.689918573113741829e+00,-1.801308799741772759e+01,-5.885126736567909411e+00,-7.317418751635988983e+00,-1.142873744006060299e+01,-4.523123654715374364e+00,-7.258925099756212695e+00
-2.891510096066202706e+01,-2.500608699082526343e+01,-1.327824887196513970e+01,-1.047285938414627893e+01,-1.179309795195795374e+01,-6.307982052920028337e+00,-6.209089106152436699e+00,-1.123470829941807381e+01,-3.751486212097465689e+00,-2.098419400132547352e+00,-3.821957794301877875e+00,-1.040777564720688630e+01,-1.298736587070233917e+01,-6.140661158165475086e+00,-8.025966463457823608e+00,-7.161516398375314729e+00,-9.752303990637463116e+00,-1.348112941188898972e+01,-7.932699887705576103e+00,-2.403983718167983064e+00,-4.685435325176550592e+00,-6.995832879897435852e+00,-1.240283935124711867e+01,-9.660645430246180609e+00,-1.641097357209206820e+01,-1.158426356872999996e+01,-3.694499647271664688e+00,-3.402440027691016944e+00,-1.683875859996077651e+01
-1.493892502770926889e+01,-1.251264759039017171e+01,-2.067799789853984294e+01,-7.928431098483823547e+00,-8.079268018111974925e+00,-7.554249691524244525e+00,-9.553501864159196444e+00,-3.722367668735451662e+00,-1.494735983165957549e+01,-5.254309373260756644e+00,-6.250120234013877507e+00,-6.717444707181888575e+00,-1.023591937955416498e+01,-2.145819759284302108e+01,-7.713058803810746156e+00,-1.267974050748755133e+01,-1.018931130282813946e+01,-1.180604224082480869e+01,-1.127672268271344436e+01,-4.451504447613829463e+00,-9.906141662846337681e+00,-1.744737097271907089e+01,-3.093255654094240192e+00,-9.675178599955811976e+00,-1.324014327018785764e+01,-2.093754245540107206e+01,-2.302816222570786664e+00,-9.842424851609209213e+00,-9.913439557262876178e+00
-2.810254366020923555e+01,-1.990856080079840140e+01,-2.576937106656210474e+01,-7.949148850670900046e+00,-9.596095799254042547e+00,-2.867570649253538662e+00,-2.004532662933687703e+01,-2.435741031973050474e-01,-6.125319636009893820e+00,-4.365535714365788245e+00,-4.238201562057609451e+00,-4.864855463165393412e-01,-9.151356155949319060e+00,-6.866536034711372416e+00,-8.688154804945586562e+00,-1.126860907677147239e+01,-1.460791948518421535e+00,-1.212407984027303876e+01,-4.014141196148181656e+00,-1.026004170954049677e+01,-1.247175812644335302e+01,-2.384466231498045019e+01,-9.396425339563601042e+00,-1.034393308468855111e+01,-7.877310964409476313e+00,-7.054573147304566305e+00,-1.421550367668005421e+01,-3.894344774305864565e+00,-9.867076770511053141e+00
-1.338177904189512724e+01,-9.243015022315660190e+00,-2.806953596529630701e+01,-3.327409434042301051e+00,-7.817288700053746098e+00,-3.996038007226682787e+00,-4.627396971375200785e+00,-1.746427844881890934e+01,-8.656625056859841294e+00,-8.903208737245321913e+00,-6.228412261882503742e+00,-3.481451369416978636e+00,-6.920819470985216881e+00,-1.182042412617195559e+01,-4.330585872384301815e+00,-2.936322514848967558e+00,-4.275263347007413728e+00,-6.801164631855165510e+00,-1.149063735852725809e+00,-1.536376822524301922e+01,-1.132372897220977492e+01,-5.499247248670467769e+00,-1.663528158933608481e+01,-1.356361849292585831e+01,-7.376907642801564080e+00,-1.091981575430974871e+01,-1.396567927343098603e+01,-1.061369157645308903e+01,-7.036287661348955780e+00
