-2.326601543738777167e+01,-1.185004655061297818e+01,-9.665227241544394055e-01,-1.192484776222012499e+01,-2.350117351669879540e+01,-1.167897471784141494e+01,-2.147927217457563387e+01,-2.321911990145296301e+01,-7.661017623195598425e+00,-1.114677909870548689e+01,-3.353102934064509544e+00,-4.678285480649066130e+00,-2.442326769297467948e+00,-5.552325970666451838e+00,-1.472815595127945798e+01
-1.602674885328953280e+01,-9.459049783032941860e+00,-1.030664282291754397e+01,-3.653392282205978780e+00,-8.048037029806407006e+00,-6.226494810685413661e+00,-1.454402145618769993e+01,-2.734632542097886443e+01,-9.889825775628889204e+00,-6.672526488169304493e+00,-2.544551057155917206e+01,-6.415172828629333246e+00,-5.327454734163952210e+00,-6.157904478563260398e+00,-1.417188293040213409e+01
-2.265880449545724318e+01,-1.742984143647628059e+01,-3.276616713318301510e+00,-8.145633538277818886e+00,-4.223598309270959916e+00,-3.184301854537083809e+00,-2.005868661682067966e+01,-1.354469265792427812e+01,-6.519991073322818131e+00,-4.449649606980537797e+00,-1.058823641821454054e+00,-1.625075536937552023e+00,9.193053707298627641e-02,-8.781537546133925787e+00,-1.033144722876559385e+01
-1.652200342860139415e+01,-1.579688394864175116e+01,-5.260470029113260004e+00,-5.534497397860713264e+00,-9.883437609512155220e+00,-2.081971987738991459e+01,-1.797526211422054132e+01,-2.011315692980386416e+01,-1.102284160743198349e+01,-6.923975875818101144e+00,-3.240961856443608902e+00,-6.545315597201824431e+00,-4.614503026676345598e+00,-1.331306154913561457e+01,-1.922652769974747144e+01
-1.714120320178440693e+01,-1.387008911012287271e+01,-3.792900090513668498e+00,-4.932777736461297913e+00,-7.964884266280066072e+00,-1.475490626020490126e+01,-1.886492757300093359e+01,-2.174748277907187699e+01,-6.540999064200839541e+00,-7.129345823865136822e+00,-1.337287814259079255e+01,-7.085655841310053660e+00,1.236711279360425131e+00,-2.281072755758044135e+00,-1.829673278830091476e+01
-1.518736043322038398e+01,-5.006180220559008021e+00,-7.413486024700985055e+00,-1.744842499550756543e+01,-1.049887416957405684e+01,-7.163086590773566797e+00,-2.182883815901938007e+01,-1.419841281283598100e+01,-7.425707506364542354e+00,2.983912759967593531e-01,-3.895002921992140710e+00,1.932359253139351862e-01,-4.677162826311902499e+00,-4.306957146378596057e+00,-1.515557736156696222e+01
-1.252632364470013115e+01,-7.193397793708529164e+00,-3.003618015315787204e+01,-3.152679873544828482e+01,-1.038088380911298181e+01,-3.265456730757590975e+01,-1.917876134238285957e+01,-1.203143375203631571e+01,-2.520648255878782606e+00,-1.053161872425205559e+01,-1.101767252972182831e+01,-6.242564069334005872e+00,-1.492625937300953964e+01,-1.861195906549838242e+01,-1.172421704760339090e+01
-2.442367692600967999e+01,-4.443935272093701094e+00,-1.156880812668112490e+01,-1.110441143118588947e+01,-1.567119723125573572e+01,-1.997262123703904635e+01,-2.601248822101958424e+01,-1.121750597637642777e+01,-9.907959625424997085e+00,-7.582075479906932536e+00,-3.633742479016270011e+00,-5.149963830519242336e+00,-5.730825445235200988e+00,-6.122254239099387263e+00,-1.558862062852609576e+01
-1.879829837028270134e+01,-5.372111634050328988e+00,-5.043753971430112060e+00,-2.760774197167193300e+00,-9.011000606216528652e+00,-1.272258016461700159e+01,-1.568526457216175274e+01,-8.539176054867144927e+00,-3.079739809697018771e+00,-7.776833450844613083e+00,-1.919244560021311230e+01,-5.540973446221459930e+00,1.486833092886562735e+00,-1.249421751837719796e+01,-1.029191564572483486e+01
-1.349114678083007490e+01,-5.230309790205209808e+00,1.675529476897722692e+00,-2.003472269130932126e+00,-1.182400032656369682e+01,-9.501553077274817127e+00,-7.372259611145577374e+00,-1.233542107736360371e+01,-1.949997344064509264e+01,-1.303143488566597341e+01,-6.309118512187143146e+00,-2.190831243389984806e+00,-8.958663135111436304e+00,-1.328497792195211602e+01,-1.676408771814064380e+01
