-2.519896311073690498e+01,-1.645551063276264614e+01,-3.076836116618367356e+01,-3.598729020328576667e+01,-1.639147290092592257e+01,-9.728686391534441924e+00,-1.995123379788129370e+01,-2.764549953743393473e+01,-1.434231895153077474e+01,-1.052393588910057964e+01,-1.668741776570752222e+01,-1.435226618489936357e+01,-1.728708101901438710e+01,-1.873927316356440542e+01,-2.351191221622255512e+01,-2.528745622370657031e+01,-1.711632652458583337e+01,-3.251278586542574089e+01,-2.698298178269918779e+01,-2.281869717392515184e+01,-1.927635655634282585e+01,-1.341050302822163687e+01,-3.126358287871773456e+01,-2.165070466410813310e+01,-1.672634740031056921e+01,-2.167555933552561243e+01,-1.570792605639216966e+01,-1.636745176997602158e+01,-2.005671665124495817e+01,-3.049476429320032267e+01,-2.012683800722277283e+01,-1.573388481297594232e+01,-2.066159967958449073e+01,-2.506299574738011415e+01,-1.482089251883672354e+01,-2.627972638635081637e+01,-3.277389795055982091e+01,-1.831403248269544193e+01,-3.021242664158497959e+01,-1.528489725666259069e+01,-3.052871311976415925e+01,-1.691660119049490163e+01,-1.577304025257167908e+01
-3.197268463202960476e+01,-2.534678354915235587e+01,-1.928594509612609542e+01,-2.800546876479090486e+01,-1.570819759946717475e+01,-1.266282907161731686e+01,-1.209422803773068722e+01,-1.398528866379990809e+01,-1.974180736445271123e+01,-9.934968510347708559e+00,-1.243067516412582663e+01,-1.328221272691077814e+01,-6.560568600474592671e+00,-1.656256396519035334e+01,-1.364927781517952177e+01,-1.691025495094299202e+01,-1.914282954370630208e+01,-1.174862736587482814e+01,-7.099475770449283019e+00,-8.128542575573968421e+00,-9.414623496432428240e+00,-1.354080914433142979e+01,-1.290340706620048650e+01,-1.160271283742062742e+01,-2.172482744663590282e+01,-1.892941615286679280e+01,-2.031887840077557428e+01,-1.001057319386444178e+01,-1.048546592787476861e+01,-1.604334868138814230e+01,-1.269587369083212458e+01,-3.556760080549650382e+01,-2.272961425950553505e+01,-8.534324252297395219e+00,-1.499395754887560095e+01,-1.102609305961201436e+01,-1.083200057326396148e+01,-8.326332991519526772e+00,-9.687643171014707733e+00,-8.291571576473463878e+00,-7.561458574915402409e+00,-1.046125946900077253e+01,-1.420218529615170056e+01
-1.759226864984709948e+01,-1.720156374456237813e+01,-1.910165359151189435e+01,-1.473769610621660675e+01,-1.280079836405094262e+01,-1.375604728457316028e+01,-1.356987882621974961e+01,-7.388521989836273285e+00,-7.046397431275202017e+00,-2.308949314028304656e+01,-9.593563625486124735e+00,-9.420686909954476107e+00,-1.354994181355906235e+01,-1.800129386793890518e+01,-2.586479296981229226e+01,-2.220318990708359053e+01,-6.299992923027271097e+00,-9.177008244552570915e+00,-4.169210385842280431e+00,-1.188667351917824355e+01,-8.882345584334030875e+00,-1.033753310436732775e+01,-5.723638868300335858e+00,-6.603807501170564365e+00,-1.312990983251035537e+01,-1.216629638252202561e+01,-1.160418942927995190e+01,-2.771592369236619646e+01,-1.222244872588529319e+01,-2.403224533940446861e+01,-1.330389251887593005e+01,-8.642766290022077413e+00,-6.889834246460574185e+00,-7.968178182267822152e+00,-2.232274698670992930e+00,-1.013125564545807755e+01,-2.782968741551255931e+01,-1.053839840627472269e+00,-1.767296494901335002e+00,-4.278583273962831335e+00,-1.472666898992280338e+01,-8.238707121228369346e+00,-1.788020340381018869e+01
-1.909394905822262700e+01,-1.242261479368640842e+01,-1.058283605311296505e+01,-1.211335404718731823e+01,-7.554919346533485403e+00,-1.079951625484294730e+01,-8.246968933042246874e+00,-1.142945674812940382e+01,-3.292146692605308012e+00,-1.187951016368884716e+01,-1.349371075255992380e+01,-1.421077367842922712e+01,-3.131341103682949623e+01,-7.980095119918454216e+00,-9.351311485315044081e+00,-9.829876718772135646e+00,-7.720502922992245054e+00,-4.659702171068655474e+00,-1.093181309796877088e+01,-4.868593387763996638e+00,-1.402446484212885913e+01,-1.039421659171175705e+01,-1.872458025964867190e+01,-6.279515214087686203e+00,-2.590433364644105119e+00,-5.491060636786095017e+00,-1.765958386092644972e+01,-1.765991312281985870e+01,-9.696624834468826393e+00,-1.064282641874188151e+01,-8.869586207728271887e+00,-8.909750067112925720e+00,-8.545346282090429568e+00,-2.206640237249308356e+00,-1.908807510161800636e+01,-3.144210546421937202e+00,-7.897275735142242681e+00,-7.433785507874747012e+00,4.781685489161692226e-01,-1.748886417530629345e+01,-3.913897137165729401e+00,-4.876278387240845724e+00,-1.314304349521678006e+01
-1.272739933369848586e+01,-2.248867524506729154e+01,-1.851886222116677061e+01,-6.079565327360903382e+00,-1.247382322756157791e+01,-3.905178760032320007e+00,-8.680630637158799345e+00,-1.327571673275067532e+01,-3.700900289657111930e+00,-1.211666520103529976e+01,-1.085201117624961853e+01,-3.100663096168698374e+01,-1.085558429025499372e+01,-1.127782591556024450e+00,-1.050464320398677742e+01,-5.885595521289013199e+00,-5.516708751355448470e+00,-8.324660566355431612e+00,-7.981748645539489928e+00,-5.314195889666582850e+00,-7.610778329480487159e+00,-9.727336259807405128e+00,-7.777562772351164000e+00,-1.232139783543273737e+01,-4.042987742128143935e+00,-1.984144748527937452e+01,-5.383860254532216061e+00,-6.971208834820046718e+00,-7.612842411692852806e+00,-1.386657817773124179e+01,2.324547376165999601e-01,2.417705514794535215e+00,1.454950050132783446e+00,-1.066417837025301907e+01,-7.368995020747318492e+00,-3.188179510036108155e+01,-3.533695254656876727e+00,-1.139887340969407425e+01,-1.157362042118460277e+00,-5.562285624636088777e+00,-7.294144202812098854e+00,-3.126081289101516170e+00,-1.641389958196502619e+01
-1.706985270792942799e+01,-1.278500099746882412e+01,-1.601748422335278121e+01,-8.973978481435203491e+00,-2.278065873374400141e+00,-2.539018822959518751e+00,-1.299576990752703942e+01,-4.900340551600340433e+00,-3.941212284797441345e+00,-8.498567136507681141e+00,-9.856320197578387621e+00,-8.877946771518399061e+00,-1.466532210753969778e+01,-6.914545120218608787e+00,-1.166949238884800399e+00,-6.030973094967116976e-01,-3.174570050677590238e+00,-2.894118584332813882e+00,-9.138505650461549834e+00,-1.029503335828938226e+01,-5.820175241196010596e+00,3.479826130245373128e-01,-1.108686489755921301e+01,-1.550851466742648554e+01,-9.364988119656777243e+00,-4.115998281235706102e+00,-8.727662463843191887e+00,-1.091156266667179153e+01,-6.658940369859219999e+00,-2.464624260348906049e+01,-3.034196499319767870e+00,-1.205185015694951645e+01,-7.303982657053003091e-01,-5.286756900228837708e+00,-1.401270764296471683e+01,-5.913488410771475579e+00,-3.952529338005506432e+00,-1.048100326173339170e+01,5.359107475486399874e-01,-8.566133936252506853e-01,-7.166004530178394560e+00,-4.659137705688546127e+00,-1.096255836339050660e+01
-1.319080306773232358e+01,-1.201254253730185795e+01,-1.844541360582143952e+01,-1.353546076088155026e+01,-7.325314029790933823e+00,-5.150396347672643316e+00,-1.143335717210231373e+01,-2.329387107933384993e+00,-4.941830124145589309e+00,-6.899036742101625208e+00,-5.067932141729550644e+00,-1.181908689783741906e+01,-8.305906604363222812e+00,-6.197725389607430913e+00,-3.505728435549084310e+00,2.090089563659384697e-01,-8.010307257993000363e+00,-4.505371188191321430e+00,-4.165426239029931033e+00,-6.597992591509392213e+00,9.761775792013374087e-01,-6.895755798995235608e+00,-5.506628250782529044e+00,-1.082365903053677769e+01,-5.570005926262970419e+00,-2.908646610137756827e+00,-1.029163453400613726e+01,-1.023981419325087749e+01,-4.302869844939630539e+00,-1.959999415585644655e+01,-1.708552847578011935e+01,-8.900853417109281907e+00,-4.964189880581847625e+00,-7.949177778782065218e+00,-1.126660318040437403e+01,-1.851711362705194830e+01,-7.715673754316546784e+00,-1.778035057042600897e+01,-5.935452358643558135e+00,-1.530444424630384148e+01,-1.179133323886404483e+01,-7.612308286106870270e+00,-1.240720149171982634e+01
-1.321177390385410177e+01,-1.443661226167248124e+01,-1.278481727616811980e+01,-2.615797587513822720e+01,-1.011891828897818613e+01,-1.359333210947013804e+01,-1.544393835949712113e+01,-6.492988910590553608e+00,-5.278091689767389738e+00,-6.398904785837523868e+00,-1.713866497920568222e+01,-1.157882672581855843e+01,-2.917401836199001064e+00,-2.877618418492847141e+01,-1.774416080872775137e+00,-1.640561183315523053e+01,-8.454050519401112851e+00,-2.963382018498043197e-02,-1.296676928547687879e+01,-6.349720253748200705e+00,-9.141211478451539918e+00,-7.696647151088384931e+00,-6.894878423113542709e+00,-8.365171358734848184e+00,-3.205183066695018734e+00,-1.466709583170722198e+01,-1.081950940460401611e+01,-8.785957566547160980e+00,-2.961418611436337223e+00,-2.819933437411290100e+00,-1.183545798066453258e+01,-6.474275530046877947e+00,-2.675357417588566378e+00,-2.370831474992927568e+00,-1.335255388232752871e+01,-4.696714685319688387e-01,-5.577497289456802010e-01,-7.619446885877692033e+00,-6.935679875046729670e+00,-1.243025906782289347e+01,-1.028555991317632134e+01,-1.478505221582443241e+01,-5.690973442991234421e+00
-1.627597625461736897e+01,-1.348881337278478298e+01,-1.222366538909029643e+01,-1.664718771526149865e+01,-1.008406376119403269e+01,-1.968578412090294050e+00,-3.388550976966690165e+00,-7.040581330865929743e+00,-2.237795590425622372e+00,-1.170197810998650567e+01,-1.645328769379852929e+01,-1.352497111156502640e+01,-3.505927568214830536e+00,-5.635747410009599889e+00,-5.424397890859060212e+00,-2.776188655277023187e+00,-1.638763626967611486e+01,-1.009383741648857935e+01,-4.976883062876216179e+00,-4.479950862956005864e+00,-1.665578015282020630e+01,-1.661951306794968275e+01,-4.358392632316151705e+00,-3.549421404000359548e+00,-1.370909211386234894e+01,-1.291872879941203678e+01,-6.017503690540362271e+00,-4.666753543270257154e+00,-1.190679938348710110e+01,-1.368120863776005081e+01,-1.666866631239283025e+00,-3.864229227236346098e+00,-3.172204853102603028e+00,-5.689918573113741829e+00,-1.005229110150988348e+01,-4.544868067537190193e+00,-5.885126736567909411e+00,-6.107379131835239505e+00,-1.069504053901841090e+01,-1.142873744006060299e+01,-6.059791485202399741e+00,-3.274825240728592490e+00,-7.258925099756212695e+00
-2.891510096066202706e+01,-1.508630660683385294e+01,-1.486780834178377830e+01,-1.327824887196513970e+01,-8.198418179652266602e+00,-1.128097330664036591e+01,-1.179309795195795374e+01,-1.443872812887549983e+01,-4.902234257590054156e+00,-6.209089106152436699e+00,-1.015937298040032566e+01,-5.123883478589791096e+00,-3.751486212097465689e+00,-6.526198567082497348e-02,-1.193197223191400091e+01,-3.821957794301877875e+00,-7.570375566380053378e+00,-1.835296359851352221e+01,-1.298736587070233917e+01,-4.431561174679937487e+00,-6.819789342276672883e+00,-8.025966463457823608e+00,-8.504169318230971442e+00,-5.132546104697155442e+00,-9.752303990637463116e+00,-1.159223432962999922e+01,-3.445803267252581037e+01,-7.932699887705576103e+00,-7.739278716650058954e+00,-1.241767200964991824e+00,-4.685435325176550592e+00,-9.889033921324836385e+00,-3.428911782053990720e+00,-1.240283935124711867e+01,-1.179391966995413199e+01,-8.649227914821711494e+00,-1.641097357209206820e+01,-1.186627949607348143e+01,-7.766961628833096043e+00,-3.694499647271664688e+00,-5.361156877619045247e+00,-6.282231301252770628e+00,-1.683875859996077651e+01
