-2.778942528601559303e+01,-3.383236045176336404e+01,-4.618164388041399349e+01,-2.231447669973339742e+01,-2.593823890639784224e+01,-2.654668423887217799e+01,-1.735151296838079205e+01,-1.936627536394725269e+01,-3.846320001969552038e+01,-2.798679366131138124e+01,-1.847218922923562090e+01,-2.118172620567770892e+01,-2.471864277232020157e+01,-2.444451541075486745e+01,-3.487375858856596267e+01,-2.357306770502793114e+01,-2.337937637264132462e+01,-3.303819282905217136e+01,-2.372217125492127821e+01,-3.254403855130335899e+01,-3.004142855227173925e+01,-2.707498020370938008e+01,-2.201013690341612516e+01,-2.093493521961674375e+01,-2.075452950871319047e+01,-2.766272870145579077e+01,-2.557104193168777329e+01,-2.745369592264579239e+01,-2.589694896131769042e+01,-2.622151968135572986e+01,-1.937460312816627450e+01,-2.240636335717676531e+01,-2.828791282992157363e+01,-1.607059580802023646e+01,-3.352083175861079667e+01,-2.192574111799081038e+01,-4.392877368809739380e+01,-2.154275064164949427e+01,-2.063591785015065483e+01,-2.902820653446252663e+01,-2.564086337528859261e+01,-4.386718481259181601e+01,-2.391163183976845019e+01,-2.034040013800872160e+01,-2.054278123691828384e+01,-2.611165701443587395e+01,-2.293890839972409523e+01
-3.737503740557286136e+01,-2.078030070375503868e+01,-1.800070334131743266e+01,-1.855540922006715832e+01,-1.839921935149656562e+01,-2.029678796946303265e+01,-1.581927474080258023e+01,-1.683325861861923300e+01,-1.280916144739014584e+01,-1.096693875020299558e+01,-1.114636438259354634e+01,-1.808214877982282687e+01,-1.847627875331689751e+01,-2.667696968441713778e+01,-1.319098322000508183e+01,-2.123187783977959953e+01,-1.660850156169882652e+01,-2.961145223385094027e+01,-2.530541388239800327e+01,-1.024915261621421081e+01,-1.142275342394784232e+01,-1.539420788260122208e+01,-2.954090766199886176e+01,-2.554634105341740025e+01,-2.350263028828234368e+01,-2.670731182923465141e+01,-2.599505851450853200e+01,-1.877341040615500489e+01,-3.102012117791637991e+01,-2.330443719751487208e+01,-2.839170692275976293e+01,-2.803832763818276419e+01,-2.920469218519234289e+01,-1.633873140897546961e+01,-1.198589171961557298e+01,-1.922696263622124846e+01,-2.505144494392038013e+01,-2.438515517314098702e+01,-2.876762768150794258e+01,-2.393248515859461989e+01,-2.830002070111582313e+01,-2.387391405360300922e+01,-1.639784560032636307e+01,-1.554143987945116478e+01,-2.185227205679699836e+01,-1.464758051688928475e+01,-1.188331463074090522e+01
-2.165316534577565122e+01,-1.787178070486205428e+01,-1.454485228451782319e+01,-1.132602173785159749e+01,-1.843137599051786069e+01,-8.807489892703895151e+00,-4.645895766083341982e+00,-1.600390978435121880e+01,-1.378885001008526601e+01,-3.378068603780848278e+00,-9.173520571880519725e+00,-1.433817033525441609e+01,-7.590130150088445049e+00,-1.955346015158433204e+01,-7.624074257404847010e+00,-5.754635848512590357e+00,-1.639507584722338507e+01,-1.675969314939195343e+01,-1.246903467463893200e+01,-1.131696134256910469e+01,-8.055225368671029784e+00,-1.371974857776096712e+01,-1.000958829313979948e+01,-1.662538239577050803e+01,-1.935290671743051405e+01,-1.574008356545721021e+01,-1.938361925380470296e+01,-1.854174394253911018e+01,-1.317893707949711057e+01,-2.020874323689401209e+01,-1.233477255658108795e+01,-1.504180728101208508e+01,-8.535636830247458562e+00,-1.193547286864286683e+01,-1.295654210368264714e+01,-1.322423819816090074e+01,-1.908019296658878616e+01,-1.873230033577968712e+01,-2.038976158531653482e+01,-1.616591235104354496e+01,-2.299342385322109550e+01,-1.210440457482488341e+01,-8.960067994936556701e+00,-1.059559493877588210e+01,-2.411837512412489914e+01,-8.575787800109885950e+00,-8.771187532903786277e+00
-1.393169834282591424e+01,-3.233537048789351331e+00,-1.543909345039461023e+01,-5.350880299053416778e+00,-8.693261075013850814e+00,-1.141359195332460530e+01,-7.972913281457353563e+00,-7.723907457788802056e+00,-1.920354763869831416e+01,-9.619727065304466862e+00,-3.735395192218579297e+00,-7.258564620232075271e+00,-1.442112097125648162e+01,-8.302066662058763313e+00,-7.198421731096619425e+00,-1.500505612361525820e+01,-4.806194728920830883e+00,-5.821930500026905264e+00,-6.741501097275093279e+00,-1.010566217284253909e+01,-9.238540775197250809e+00,-1.201982872509776534e+01,-1.515698035891658435e+01,-1.259268742039814981e+01,-1.547833495837177331e+01,-1.839488210906493038e+01,-1.374078389945741208e+01,-1.782913680950012036e+01,-1.752175683186174737e+01,-2.066138629570206575e+01,-1.867215453419624538e+01,-9.478381481461223501e+00,-9.837941725074280441e+00,-7.700378866171635472e+00,-8.700121509596632663e+00,-8.902712378421730577e+00,-7.419600562178248815e+00,-1.560782824984548256e+01,-2.245484291815690980e+01,-1.780448781186177598e+01,-1.636823265935615268e+01,-4.412174646280925927e+00,-1.525738835085667766e+00,-1.096328006025332691e+01,-9.102240420332755377e+00,-1.510001563762547505e+01,-9.498058521057144432e+00
-1.224001692699463817e+01,-1.424121117917317436e+00,-3.054271961242079225e+00,-5.280800300835534422e+00,-5.324704309289622906e+00,-6.685653862080592091e+00,-2.421974987184962913e+01,-1.547939787284879287e+01,-1.349230941395516581e+01,-1.468745811067428519e+01,-1.643052437637219398e+01,-2.346580958494576485e+00,-1.449208336713684808e+01,-2.422941845065534139e+01,-7.936738869396345208e+00,-8.543711428103261341e+00,-4.635136140782753600e+00,-6.350842975054699302e+00,-9.743663657302413128e+00,-1.565820259965248340e+01,-3.000255098542070442e+01,-9.904293913204645250e+00,-6.975496350114932298e+00,-1.286290737809934015e+01,-6.820346804796804108e+00,-5.819984206374934743e+00,-5.439016473244226546e+00,-2.880524629469278786e+00,-1.408358114880416956e+01,-1.682882946081476661e+01,-1.304712865124519716e+01,-4.315526111416102317e+00,-4.842173953374430795e+00,-5.876507374365800729e+00,-1.105329469493692862e+01,-8.405080640649252643e+00,-1.831013113477170862e+01,-1.021539402096591509e+01,-2.012488543429497412e+01,-1.912909579995810461e+01,-1.945470747484559837e+01,-4.625425265469297997e+00,-2.603406528411878362e+00,-8.504308124683028325e+00,-3.587754171325347574e+00,-8.909844316646227114e+00,-1.371029227487873570e+01
-1.228719876559225455e+01,-7.210638885582762114e+00,-2.690485978704414549e+01,-1.728338429359649453e+01,-8.540477731162491537e+00,-2.098855145932335020e+01,-2.443980903352342082e+00,-6.916031553786613273e+00,-6.496000433936872653e+00,-1.845785374764995268e+01,-2.330547979220693122e+00,-7.789124320515067090e+00,-1.296403736847486776e+01,-1.728596301573709937e+01,-1.025584990109208938e+01,-4.289244543750074357e+00,-1.100089405498768436e+01,-2.071886907567891711e+01,-5.928826239446607360e+00,-1.120569303495344471e+01,-2.437096896917813282e+01,-2.006294697959560125e+01,-9.899434409579290772e+00,-1.214863244545600551e+01,-7.772654766826226691e+00,-5.568362926991587081e+00,-9.865731910188543452e+00,-7.053027711584149984e+00,-5.443436542709760850e+00,-3.868612511870852089e+00,-6.209139621470352921e+00,-8.105166624595009139e+00,-5.134540835577907636e+00,-4.521542495897809211e+00,-7.754907551366583718e+00,-3.997353909592172627e+00,-1.481983468537483617e+01,-9.846508356972815790e+00,-2.288098417491014303e+01,-1.978962323253480804e+01,-1.911183329309985623e+01,-1.038748891511085404e+01,-8.289610040610787323e+00,-4.059606414873842439e+00,-8.143547967882385663e+00,-7.548105766414696660e+00,-1.425767785747019012e+01
-1.448025675964226089e+01,-2.326759508802396681e+01,-1.346757253055275072e+01,-1.261577269255907652e+01,-5.479942980847802403e+00,-4.238783016220700972e+00,-4.940995785957943198e+00,-7.739474482628900809e+00,-6.737133865618246453e+00,-2.765580879896510247e+00,-1.288884130293319386e+00,-1.231222221544548923e+01,-1.888785893745793842e+01,-1.166580552535410220e+01,-9.214952251641454595e+00,-5.218641632903039174e+00,-1.901785130992168149e+01,-1.476609296426022055e+01,-9.992667681770873500e+00,-8.274943791753802458e+00,-1.292688029861243315e+01,-1.489752892507530468e+01,-1.603659567431603250e+01,-1.491277214207978652e+01,-1.718508381693221310e+01,-1.105171120381567107e+01,-1.455077090830515374e+01,-9.221183468745680401e+00,-7.168165412037412310e+00,-1.037527985318832791e+01,-8.831057690419234163e+00,-7.332093254065581434e+00,-1.569091367858859165e+01,-8.729240062402540801e+00,-8.942541925308953310e+00,-3.860009463269936103e-01,-8.599249508719136514e+00,-1.214031797194330053e+01,-1.898158479071882709e+01,-2.064095250227247647e+01,-1.764405513893685296e+01,-1.736346291010382714e+01,-5.950815912796554308e+00,-4.624996745453983316e+00,-9.803783170897974131e+00,-1.115094795471541822e+01,-1.892261097007567372e+01
-1.717415099699187664e+01,-1.399263829269692749e+01,-1.452683047755950341e+01,-1.368759136345321181e+01,-4.883344017623868716e+00,-3.264602903781788967e+00,-6.190466894564073286e+00,-5.419562370719834377e+00,-1.040922165573148384e+01,-9.064340538243305545e+00,-7.000713016722773574e+00,-1.006954800624994917e+01,-1.152036130787616131e+01,-8.662792706621031513e+00,-6.046893841554626725e+00,-1.577373822532821634e+01,-8.699933548138623962e+00,-1.290617989036365820e+01,-1.430002792884629770e+01,-1.687443796370271798e+01,-6.555171785538971285e+00,-4.406001179252347910e+00,-9.354389389538145139e+00,-5.914711419399237613e+00,-1.886564722280503048e+01,-1.593015603037084382e+01,-1.723100588091899965e+01,-3.830482947179831843e+00,-1.964419928258747672e-01,-1.390387238695201688e+01,-8.504957639951811643e+00,-6.440292406492310384e+00,-8.078702112356875631e+00,-4.612229400482884323e+00,-8.383932382839194730e+00,-8.116914514112242074e+00,-8.325533493799161633e+00,-8.568187688790240841e+00,-1.114777716354292991e+01,-1.321488675257293011e+01,-2.079453570643510218e+01,-9.809376802177721899e+00,-2.316396722682733778e+00,-8.233171808224081900e+00,-1.707605102895801608e+01,-1.037953900329348933e+01,-9.718350947952439256e+00
-1.609016558497959082e+01,-1.500023806769939405e+00,-2.666737531216039514e+00,-1.239253286871319126e+01,-1.905719691932337367e+00,-7.567261496921576125e+00,-6.961627389874360361e+00,-8.850040660633105460e+00,-1.828549266707132404e+01,-9.811998149425168236e+00,-8.124182816194867485e+00,-1.069876014959688426e+01,-1.995417510145468043e+01,-9.918667096311368780e+00,-3.633354550647700520e+00,-5.680513523749082694e+00,-1.804351348595823268e+01,-7.667772412424862516e+00,-4.143304267869540425e+00,-6.793851905113278633e+00,-2.660669164436730405e+00,-3.116666278213701347e+00,-6.778804399914010403e+00,-1.083370865749124512e+01,-1.885893829601714700e+01,-1.352304427535821318e+01,-1.259146263551794931e+01,-3.236165733234671826e+00,-8.343909799045835740e+00,-3.820765979573738758e+00,-3.572818394069371628e+00,-5.943330899393000522e+00,-8.546625996476340248e+00,-7.293800260303177296e+00,-2.608017941421368135e+01,-1.223717434787434932e+01,-5.237178221888589391e+00,-1.172618320667218050e+01,-1.485515932223560398e+01,-1.005000920108064122e+01,-1.469126611439262042e+01,-4.656363762401669604e+00,-6.625743038160933907e+00,-1.187390126119163369e+01,-1.835256386600391210e+01,-7.672926870409160216e+00,-4.215411960766182631e+00
-2.331394644541959593e+01,-2.675631851977235964e+00,-2.918076667389319923e+00,-5.446257265167679940e+00,-9.973402292958406079e+00,-8.202778008814092914e+00,-8.519157726008952380e+00,-1.630495526682665286e+01,-2.335461577373273201e+01,-2.283779659398383188e+01,-1.629150937602774007e+01,-7.968025464346388809e+00,-1.215721741725631233e+01,-2.100051686824620845e+00,-9.514144930843492887e+00,-2.111201862240221772e+00,-1.305047186317140451e+01,-8.394592718345418092e+00,-2.052269102542501145e+01,-1.156088070973456716e+01,-6.809524662139564199e+00,-1.012615745172539938e+01,-5.046195460259371934e+00,-1.939985755023191416e+01,-9.637614143105031062e+00,-5.996712736412781908e+00,-1.014039799781374818e+01,-5.906026831872543070e+00,-1.100493684644329839e+01,-2.151505909750940049e+01,-1.088193062236431530e+00,-4.648655257921252115e+00,-9.351024823459741953e+00,-1.699286822810802278e+01,-7.118438538012744843e+00,-1.024673229540780284e+01,-2.421008030643115561e+01,-1.371607816286311987e+01,-1.250674370646371969e+01,-1.868508401225836835e+01,-1.631726518513452362e+01,-1.600533175353271176e+01,-3.741297007869816671e+00,-1.137107804716965198e+01,-4.404057080504112598e+00,-7.545717615698944947e+00,-5.299706474438340642e+00
