-2.468111963487054084e+01,-3.185852251205983166e+01,-3.750179759528293033e+01,-3.076604747079727531e+01,-1.703218166868524719e+01,-2.302353497923025571e+01,-2.570166190331871192e+01,-2.300606857079224454e+01,-1.657595348454577433e+01,-2.978616114772862034e+01,-1.981471460766633896e+01,-1.818706301385222801e+01,-3.948288761462817575e+01,-2.430378183115238500e+01,-3.437039604227055634e+01,-2.995879380589183327e+01,-2.815030707922873887e+01,-2.375128898464504346e+01,-2.413805169258669636e+01,-1.957815172381722135e+01,-2.723636885659436047e+01,-3.075722634737205397e+01,-2.446583366365021561e+01,-2.868407749610744162e+01,-2.660228093316675313e+01,-3.083419583268933906e+01,-2.003401950149650190e+01,-3.789766230551079218e+01,-2.556643523027756970e+01,-2.458772671906764273e+01,-2.449833657095456729e+01,-2.567017052057473592e+01,-2.262787608231070280e+01,-2.543384779982876864e+01,-2.462828168452212907e+01,-2.111217527258285287e+01,-2.290950686392848823e+01,-2.090855374179819037e+01,-2.369592104559610135e+01,-3.049296688968115987e+01,-1.995853677200906162e+01
-3.235516281982439324e+01,-2.747263511195016150e+01,-2.716804602140248903e+01,-2.235517557486739548e+01,-2.013324082798592229e+01,-1.862587160859653324e+01,-2.407945492987365910e+01,-1.997262338632937073e+01,-1.852985191751744409e+01,-1.811903688901800891e+01,-2.592803918927087281e+01,-1.491127915913747337e+01,-2.957710368586311844e+01,-2.281082072841012831e+01,-2.755216067414854564e+01,-1.939617360170110416e+01,-1.601306643505783001e+01,-1.202264366616344837e+01,-2.082975758301903113e+01,-1.485956847130589686e+01,-2.739742278711612755e+01,-1.559721729149967118e+01,-2.429524099577126606e+01,-2.392343095070850723e+01,-3.251865996267125070e+01,-2.076085521467992834e+01,-1.779739042567417684e+01,-2.317229181869043586e+01,-2.790995482563188546e+01,-1.755149985892803244e+01,-1.932386447240162042e+01,-2.286554448907804726e+01,-1.216595110403481961e+01,-1.687469540188207517e+01,-2.110052659981980128e+01,-1.511702925126358465e+01,-1.183590626370047083e+01,-1.706355539090036544e+01,-1.563733583103028479e+01,-1.557704959979370685e+01,-1.914805046425024315e+01
-2.455609096168892691e+01,-2.033019368224998047e+01,-2.097466891030410352e+01,-1.933116771761622488e+01,-1.859180208530918321e+01,-1.948835572983379194e+01,-2.141215837657770749e+01,-1.247002363591958130e+01,-2.782156528914125104e+01,-1.697202961069420013e+01,-1.775614782526207591e+01,-2.158045462654995106e+01,-2.260780046329781712e+01,-2.346487369221872399e+01,-2.418269345440950602e+01,-1.330088560530261432e+01,-1.753126524698421562e+01,-1.370221055700288026e+01,-2.022132340388893468e+01,-1.930521609229592173e+01,-1.585960911983710098e+01,-1.226631328070892479e+01,-1.658494312921240876e+01,-1.345883466459245348e+01,-2.742523361294307094e+01,-2.140478574724686212e+01,-2.361359197855781389e+01,-2.596061365613026695e+01,-4.174251325989928318e+01,-2.005611184870738128e+01,-1.410715756687401345e+01,-1.915722036564478259e+01,-9.559000049521943154e+00,-1.129789411002779786e+01,-2.019918850664047838e+01,-1.522902238976015710e+01,-6.021951831668107324e+00,-1.146872050395260700e+01,-1.874103720157286901e+01,-1.164253978996988437e+01,-2.350528014745301419e+01
-2.032185953832547298e+01,-1.974061483942190520e+01,-1.556019811142504849e+01,-1.913091979107969820e+01,-1.384174329641109047e+01,-1.588701348367725075e+01,-2.327578438479844891e+01,-9.343484313625470605e+00,-1.894047008156024603e+01,-1.908488819378244727e+01,-1.970672886123530532e+01,-2.619629719464619200e+01,-1.140466380937038160e+01,-2.435243033439702032e+01,-1.555869464758518461e+01,-1.112293873566960123e+01,-1.250814631432369772e+01,-1.899234261125294054e+01,-1.219034091131056741e+01,-1.877416900743953221e+01,-1.971478880260401567e+01,-1.594953268678780134e+01,-1.684020121440576645e+01,-9.216686483033814881e+00,-1.505555175181816630e+01,-2.125531882125099159e+01,-4.161174609476559993e+01,-1.660890637802273062e+01,-1.730536678825702879e+01,-1.072758141138500676e+01,-1.578738179217625337e+01,-1.044514784340545788e+01,-1.148930401105016230e+01,-1.194652096765243954e+01,-1.238754318288735590e+01,-3.954416925505409353e+01,-1.019674366741226379e+01,-1.525560526360653313e+01,-1.685507247923193930e+01,-9.383210930278565343e+00,-1.822858578856148171e+01
-3.301840404416104491e+01,-2.369007379863314000e+01,-1.493095301076429848e+01,-1.921914751667057430e+01,-9.745990616341948964e+00,-1.606236649604998590e+01,-2.394895051315861778e+01,-9.300208608169374003e+00,-2.550494847348026539e+01,-2.218868558523817924e+01,-2.668116578580250220e+01,-1.964566622207559732e+01,-8.509192630412515612e+00,-2.118671550991806285e+01,-1.043616978169541021e+01,-1.217164326755754189e+01,-2.903991564526153724e+01,-1.776504272061182022e+01,-1.455510847873741653e+01,-2.166411646411020797e+01,-1.399937829099890507e+01,-1.597440344340189000e+01,-2.122478696655396035e+01,-1.135397512369714867e+01,-1.345544021285531144e+01,-1.845779933061225364e+01,-1.386060006714694026e+01,-2.046238435400782407e+01,-1.455751535428190380e+01,-5.357994775165674461e+00,-6.339029360856686779e+00,-1.010889767102021253e+01,-1.320850947144155185e+01,-1.584111116978370148e+01,-1.023867962265243747e+01,-2.077397796560649823e+01,-1.463126059745650664e+01,-7.165615302199849879e+00,-1.227361404091176489e+01,-1.151373531822953034e+01,-2.210340813215201194e+01
-1.888446846580649208e+01,-2.258272380927748202e+01,-1.848707421955692709e+01,-1.401027743531624381e+01,-8.242762869344296917e+00,-1.683797395481288817e+01,-1.416504674578156830e+01,-1.109878443146797267e+01,-1.850861505120312600e+01,-1.561812333019701882e+01,-1.883860684974890276e+01,-2.229758087386307608e+01,-1.196225560739511806e+01,-9.118432394806804453e+00,-6.802783037558162604e+00,-1.504189226094591803e+01,-1.254272831559256574e+01,-1.493838093804023615e+01,-1.594589822216345354e+01,-1.080585452082110720e+01,-8.282963554293537811e+00,-3.088234349075220209e+01,-1.816740716093415031e+01,-2.436275374520735681e+01,-9.957853377942496920e+00,-3.190116095132712104e+01,-1.709334361542128633e+01,-1.813282992340985089e+01,-1.893969961657636247e+01,-9.591706692714360827e+00,-1.080049341054435175e+01,-1.311100997025197223e+01,-2.033619132960008358e+01,-1.859007144924724741e+01,-1.017919077003471173e+01,-2.203973719193971093e+01,-9.064241586922541671e+00,-9.546403003792956810e+00,-1.372247305752774338e+01,-1.395683636598903377e+01,-1.837459450173453845e+01
-1.644751336543560782e+01,-2.314566354217313204e+01,-2.209165033847192916e+01,-2.345668709585254419e+01,-1.208061127534759649e+01,-2.184341317404946636e+01,-1.125394063404178624e+01,-1.114911430155606809e+01,-1.299891947568433892e+01,-1.327721869860383386e+01,-1.830775183851161003e+01,-1.329936986126455167e+01,-1.448807968719118122e+01,-8.246454117056773114e+00,-9.074623239175267031e+00,-2.122935181084749701e+01,-1.115368391924015867e+01,-1.145620274888428369e+01,-1.696604919157747915e+01,-6.289954769079047381e+00,-1.764260089743342164e+01,-1.677438781346825536e+01,-2.140933018898291706e+01,-9.921279303869402710e+00,-1.202454768129393514e+01,-2.293360871534764200e+01,-1.678679017650462768e+01,-1.095757538362676264e+01,-1.702281974623778282e+01,-2.683161229458625030e+01,-2.081867461062786617e+01,-1.202297339030930168e+01,-2.135243032307230138e+01,-1.429928252618451623e+01,-9.168254001425378164e+00,-1.688014428088159136e+01,-1.182545023087523184e+01,-3.001665256713093299e+01,-1.570879664436740342e+01,-1.970191975450606847e+01,-1.497024084663476273e+01
-2.467079385115587442e+01,-1.890846222392154274e+01,-3.162716318561134088e+01,-2.082113599245674607e+01,-1.624500461534126927e+01,-1.827394507791966660e+01,-1.183107215618166563e+01,-1.211643922278599206e+01,-1.527058945013718905e+01,-2.284417212709497491e+01,-2.085026086344779372e+01,-8.754499324659558823e+00,-2.047155217408005967e+01,-9.312441937823662030e+00,-1.932914925640245229e+01,-1.383854833571549392e+01,-8.435188211165405292e+00,-2.818298577698047325e+01,-1.475291030390066815e+01,-1.282135979176377738e+01,-1.953416975101650621e+01,-1.505415167273898014e+01,-1.212196078786786657e+01,-1.126909671578437155e+01,-1.955992503839638275e+01,-1.196058009536172051e+01,-1.811518510465948495e+01,-1.132941816233849508e+01,-1.178056599564694551e+01,-1.386966130922671070e+01,-1.711867907401394362e+01,-6.692970559189696189e+00,-2.058849581175817178e+01,-1.255147240427121957e+01,-6.553667559659114517e+00,-1.233834892766025426e+01,-1.999348698896619680e+01,-1.782248853479671169e+01,-1.474523906993733924e+01,-1.911097632669650181e+01,-1.157934993161997639e+01
-2.270256524978982782e+01,-1.836790345713754746e+01,-2.662165759712221913e+01,-1.991701569441276121e+01,-1.011402700211237793e+01,-1.168311453513689813e+01,-1.596379839073772899e+01,-1.002549890570769620e+01,-2.297655404478602748e+01,-3.117143051716697144e+01,-2.554479257929415681e+01,-1.303588731558581415e+01,-1.215052901633499971e+01,-1.225809405175962397e+01,-1.073213290771735551e+01,-2.207172459181467516e+01,-1.635001704648985310e+01,-1.257736386988442945e+01,-1.235702647591982739e+01,-2.154405723759753499e+01,-2.516681441253703966e+01,-1.002036718688622230e+01,-1.459617449098006148e+01,-1.830269036300513363e+01,-2.021170068361498906e+01,-1.251619871416871632e+01,-1.402265610383781791e+01,-1.909451269787678385e+01,-1.059043337833297116e+01,-1.287310906805950950e+01,-1.739218110937252249e+01,-7.659635960273423194e+00,-2.078892573141158095e+01,-2.607125271818993184e+01,-9.224503886599361380e+00,-1.504741488049466902e+01,-1.529233844509780482e+01,-1.565880844410774309e+01,-1.811799694391937976e+01,-1.102148372014560174e+01,-1.316733029838753843e+01
-2.015860725106483287e+01,-2.283523199196665843e+01,-2.432862270394258175e+01,-1.479509708617379360e+01,-1.382148670051767958e+01,-1.379462141936696362e+01,-2.317482093682755462e+01,-1.097179607138089352e+01,-1.371553563399985798e+01,-2.271811971264793328e+01,-1.206165643205639526e+01,-1.471867044563015625e+01,-6.898350955575745402e+00,-2.440793167606268099e+01,-1.149266751931432040e+01,-1.670431198024477482e+01,-2.392322278821446346e+01,-1.696314887989744591e+01,-1.249408433591107759e+01,-1.313657719326529083e+01,-1.997265300953939615e+01,-1.359439508951523834e+01,-1.312666195625032373e+01,-2.066431238959555472e+01,-1.796474088584744422e+01,-2.271065579876053420e+01,-1.726576361298349482e+01,-1.018948128547704002e+01,-7.758168397886848311e+00,-2.369649427344333148e+01,-1.521979983022078109e+01,-9.395443839493642812e+00,-1.628651911993949142e+01,-1.935510142741112460e+01,-2.143112416240055751e+01,-2.501283897279904167e+01,-1.742919790241380085e+01,-1.148027312743063888e+01,-1.385115187041460594e+01,-1.149625622238898792e+01,-2.400579782849748511e+01
-2.732656585124773940e+01,-2.053895957553628904e+01,-4.683043419187136180e+01,-2.191416571533492785e+01,-1.439035578759902911e+01,-1.590873372195652280e+01,-1.449962314633496163e+01,-2.308562183440088944e+01,-1.813646134887396855e+01,-1.963939478358102875e+01,-8.041322131367021342e+00,-1.737419784370345965e+01,-7.441755295579359775e+00,-1.428671081192202053e+01,-1.426636168144861472e+01,-1.071593688029612323e+01,-1.290821704268641135e+01,-2.074371577588630089e+01,-1.606103863965186207e+01,-1.139767629870696197e+01,-2.076732139180453984e+01,-2.076728514626318400e+01,-3.036374740971326958e+01,-1.613011429604391722e+01,-1.981927830333420104e+01,-2.206413401406581798e+01,-1.297219311100320027e+01,-1.359709023384082371e+01,-9.524746424560790459e+00,-2.821598820708881661e+01,-3.846443946497187483e+01,-1.284119482691978575e+01,-1.174763848548312062e+01,-2.119562608362776857e+01,-1.878144170327968254e+01,-1.973138600098183559e+01,-2.166446123494644382e+01,-1.116479258423203014e+01,-8.632232298038598373e+00,-1.811895139911058550e+01,-1.554380830059440655e+01
