-2.766877661144622635e+01,-1.430867394543154703e+01,-1.551160584695388600e+01,-1.463168202539294249e+01,-1.083999742245603670e+01,-1.825586504736081039e+01,-9.995453291586795075e+00,-1.594817693386691992e+01,-2.090904472355941124e+01,-1.484585624595579922e+01,-2.628070271003965530e+01,-3.105531371621637504e+01,-1.996869439191697992e+01,-2.071067912616634032e+01,-1.487224258823469114e+01,-1.697143020852344719e+01,-1.027335400252260555e+01,-1.727953780717988863e+01,-1.369646101840148056e+01,-1.476020831996869553e+01,-1.313769038767305730e+01,-2.428677583812707041e+01,-1.388017293887352288e+01,-2.237302658598856198e+01
-1.880955685101220354e+01,-1.406152231268556640e+01,-1.576136288402210184e+01,-1.438448695998808091e+01,-1.131888488078240762e+01,-1.703240295610250854e+01,-1.378576989421413757e+01,-1.392534109235020523e+01,-1.826140719407675661e+01,-2.670206100412270800e+01,-1.837878951448778508e+01,-1.768822960689646706e+01,-2.659819680660016061e+01,-1.818920928852427110e+01,-1.715263408559592406e+01,-9.685393089628412611e+00,-1.201854426115407648e+01,-2.731912376364278217e+01,-2.284039793889050785e+01,-1.696811051077273191e+01,-1.203989562236150235e+01,-1.668960397819433439e+01,-1.069531541637338101e+01,-2.598807464310463189e+01
-2.803841002988763265e+01,-4.431151858267402588e+01,-1.432292804561972943e+01,-2.771253516910699943e+01,-1.891625308495278190e+01,-1.750559887326933151e+01,-2.140866556801092813e+01,-9.988048956029288661e+00,-1.855206203731573567e+01,-2.237599740543260296e+01,-1.861435866876761480e+01,-1.849145272726845945e+01,-3.398036421284264463e+01,-1.355632367926300219e+01,-2.345916669957839318e+01,-9.897967976932447343e+00,-1.701254612166674107e+01,-1.097348372647993386e+01,-1.360813083027509585e+01,-2.439977567717823348e+01,-1.250279160864534056e+01,-2.318057726594198442e+01,-1.139763147381180453e+01,-1.966001554276748209e+01
-3.502505343314282271e+01,-1.647870364292167622e+01,-2.146171926619054560e+01,-2.233975157722959892e+01,-1.983865449584288143e+01,-2.088450801312360383e+01,-2.304752431474255303e+01,-8.384950333394574074e+00,-2.484509384619975947e+01,-2.994031736498382301e+01,-2.571031781377417857e+01,-2.573672108688916893e+01,-2.399771368092020651e+01,-2.033988225315972187e+01,-1.671674465867308257e+01,-1.324099105189331027e+01,-2.038576026370695615e+01,-7.851625759539090588e+00,-8.597494097315752981e+00,-2.046313447544379827e+01,-1.162837005516807665e+01,-2.688805589825305375e+01,-9.299683084803040956e+00,-1.503028787069836270e+01
-2.420030842973465823e+01,-1.604394389489018380e+01,-3.914360923693849514e+01,-1.376934127097218052e+01,-1.693020206106445613e+01,-4.119822205526179459e+01,-1.839944738481354847e+01,-1.002380341624263593e+01,-1.924045732550333199e+01,-1.869571100928405372e+01,-3.614673752676311125e+01,-1.362561441104793403e+01,-1.219249350729496228e+01,-1.309314716795689115e+01,-1.878807144003794605e+01,-1.137969707092209504e+01,-2.063926239176801758e+01,-9.467528734599147455e+00,-1.039481636545530563e+01,-1.586579398840217969e+01,-1.350154165841741616e+01,-2.059593098517064291e+01,-1.147344528707285427e+01,-1.423274396497388672e+01
-1.660597534201376391e+01,-1.989352066117951523e+01,-1.348331042331312446e+01,-1.619811712388239400e+01,-1.107560789231003717e+01,-2.870421340841532754e+01,-1.492977985603716107e+01,-2.141172824455521351e+01,-1.356518067153461793e+01,-1.374690241230090848e+01,-2.226168936828027256e+01,-1.525321083862122507e+01,-1.282187750704537876e+01,-1.012379400532654117e+01,-1.298859423071816188e+01,-1.026788971934776740e+01,-1.480467116871482247e+01,-1.214145629967749329e+01,-1.269199133822517034e+01,-1.537065073279244487e+01,-3.285499965083342744e+01,-1.072595657969241856e+01,-1.687524254593860817e+01,-1.305088344709227854e+01
-1.975845962476687845e+01,-1.486613005549892286e+01,-1.606019276489814374e+01,-1.374159178727540365e+01,-1.435045686436968460e+01,-2.423611977746622159e+01,-1.313543347098013392e+01,-2.307621593241690761e+01,-1.576492902619129843e+01,-1.427950945342520583e+01,-2.187582118977498169e+01,-2.927762326924019831e+01,-2.179229269066690122e+01,-1.236488058043027749e+01,-1.234920023919966070e+01,-9.552744722805913469e+00,-1.363678203575039483e+01,-1.432804669828330368e+01,-1.773782902070581358e+01,-1.111555646884538362e+01,-1.730284493630506049e+01,-1.195820757503851084e+01,-1.353454356520599333e+01,-1.777895750699804012e+01
-3.159909398854658491e+01,-1.702789288163931758e+01,-1.774699412697330203e+01,-1.785047913473082914e+01,-3.680774816816843042e+01,-2.007435518389551987e+01,-1.441393142788768600e+01,-2.080693514899089180e+01,-2.159141007940446855e+01,-2.041033649310404030e+01,-2.129578610792936288e+01,-2.037490123429457611e+01,-1.848646811580149674e+01,-1.582933850811889975e+01,-2.226301110484649826e+01,-1.050935199222379524e+01,-1.353370901668815662e+01,-1.940371433629157849e+01,-1.498981840343838812e+01,-9.093713593571097320e+00,-1.846703094734722228e+01,-1.406699616471167502e+01,-1.517430710085324463e+01,-1.977732672493495514e+01
-2.091246998495980591e+01,-2.381201739418873586e+01,-1.175800120054080011e+01,-1.432617796421059531e+01,-2.191607672437177712e+01,-1.839917442350545684e+01,-2.249395407663372026e+01,-1.613351822512246159e+01,-3.410606904531191930e+01,-2.386119052767248405e+01,-1.641612694978216425e+01,-1.659860398137756832e+01,-1.958620451358845926e+01,-2.375851136685411547e+01,-1.443091289215700357e+01,-2.338870783569926814e+01,-1.520215809112390737e+01,-2.064602802759271682e+01,-1.714312033292238979e+01,-1.153229120990269863e+01,-1.986532737803339899e+01,-1.299407642285244435e+01,-2.395998733171841621e+01,-1.555905773415705973e+01
-1.907315298527518976e+01,-2.435741090727402280e+01,-1.365761452364028727e+01,-1.224926399066893978e+01,-2.077498217510602174e+01,-1.282080125297732209e+01,-2.363073135838731531e+01,-1.062830563926376115e+01,-1.589989648373507869e+01,-2.971069619605437140e+01,-2.221336662467528100e+01,-2.335191453750645252e+01,-2.060473085469019594e+01,-1.548760895866314158e+01,-1.383649198513848866e+01,-2.312721892813639357e+01,-1.697086883212177355e+01,-1.481277849882744846e+01,-1.904236087178509962e+01,-1.215289248402078037e+01,-1.187036432728727497e+01,-1.939884619365892604e+01,-2.715986783149727657e+01,-1.088263370214470349e+01
