-3.000718880468409822e+01,-9.665227241544394055e-01,-1.210856840769368858e+01,-1.167897471784141494e+01,-2.920848713045087663e+01,-7.661017623195598425e+00,-1.097126349883104091e+01,-4.678285480649066130e+00,-3.146709463305136900e+00,-1.472815595127945798e+01
-1.519704728461994137e+01,-1.030664282291754397e+01,-5.101562077935843931e+00,-6.226494810685413661e+00,-2.555470299861321237e+01,-9.889825775628889204e+00,-4.077019323114291716e+00,-6.415172828629333246e+00,-3.054892949228469767e+00,-1.417188293040213409e+01
-1.670771261739399804e+01,-3.276616713318301510e+00,-1.074309054845142875e+01,-3.184301854537083809e+00,-1.827854244584433729e+01,-6.519991073322818131e+00,-1.571449290847488189e+00,-1.625075536937552023e+00,-4.697868135624462482e+00,-1.033144722876559385e+01
-1.859772575107400883e+01,-5.260470029113260004e+00,-1.567011290379316968e+01,-2.081971987738991459e+01,-2.031572285148926227e+01,-1.102284160743198349e+01,-2.250843432101645725e+00,-6.545315597201824431e+00,-6.277498066437962265e+00,-1.922652769974747144e+01
-1.964911991064258245e+01,-3.792900090513668498e+00,-8.546036148686509293e+00,-1.475490626020490126e+01,-2.836647123749084187e+01,-6.540999064200839541e+00,-7.742820120042091858e+00,-7.085655841310053660e+00,1.050170151545131825e+00,-1.829673278830091476e+01
-9.014986826802642739e+00,-7.413486024700985055e+00,-1.653053652914539384e+01,-7.163086590773566797e+00,-2.147915645650252969e+01,-7.425707506364542354e+00,-1.688276841134406459e+00,1.932359253139351862e-01,-3.150348555686837138e+00,-1.515557736156696222e+01
-4.829770014832746483e+00,-3.003618015315787204e+01,-1.267182159214614501e+01,-3.265456730757590975e+01,-1.786436869949892170e+01,-2.520648255878782606e+00,-6.927248914077795305e+00,-6.242564069334005872e+00,-2.708256858482416263e+01,-1.172421704760339090e+01
-1.013384930852720345e+01,-1.156880812668112490e+01,-1.474353655881195557e+01,-1.997262123703904635e+01,-1.393558436978158710e+01,-9.907959625424997085e+00,-8.421567875420176819e+00,-5.149963830519242336e+00,-5.033206114703322243e+00,-1.558862062852609576e+01
-1.802760892249623836e+01,-5.043753971430112060e+00,-5.189597743856900536e+00,-1.272258016461700159e+01,-2.059327509357143171e+01,-3.079739809697018771e+00,-1.188517603162685177e+01,-5.540973446221459930e+00,-2.315266441808078390e+00,-1.029191564572483486e+01
-1.375913476923752832e+01,1.675529476897722692e+00,-6.385131285857000627e+00,-9.501553077274817127e+00,-1.235747437839041218e+01,-1.949997344064509264e+01,-1.277356580422766008e+01,-2.190831243389984806e+00,-6.192965961729224311e+00,-1.676408771814064380e+01
-1.259446463414919393e+01,-1.265093438009149018e+01,-9.085083930940331953e+00,-1.904590018594952383e+01,-9.876432865672127193e+00,-1.380760336573865743e+01,-4.336241100050681752e+00,-5.872738286772020366e+00,-1.147785435624380668e+01,-1.612528716168754173e+01
-7.536970865201713110e+00,-3.367847435384664578e+00,-2.410642588865410829e+00,-1.143344493751075674e+01,-1.117491298821679813e+01,-1.267105842267056026e+01,-7.377916155744925319e+00,-2.981823893488923627e+00,-3.451963593209604220e+00,-1.619360215128591918e+01
-1.332945181368516785e+01,-1.828315520434182417e+01,-4.645186359266096687e+00,-1.418194425192148245e+01,-1.471099562084995149e+01,-8.419528770034311549e+00,-6.531012745712649448e+00,-3.642499296272921683e+00,-6.114414221917238379e+00,-6.984162459942307777e+00
-1.384625716560013764e+01,-1.337642260001834948e+01,-1.316795339817167942e+01,-1.268296180651067573e+01,-1.971944698219947156e+01,-8.183683821372746081e+00,-2.835742971073033747e+00,-1.118322579940810968e+01,-9.750213022219526238e+00,-8.712052669927004445e+00
-1.070269190172009388e+01,-6.304591710299900953e+00,-2.706834478028479207e+00,-1.941860113453627434e+01,-1.223828732588034285e+01,-4.766495493854416843e+00,-8.848610356870800331e+00,-4.242956745735723345e+00,-5.216015379604408864e+00,-1.108258984417137327e+01
-1.647360348009079445e+01,-7.769585745650289255e+00,-7.524922586792013313e-01,-9.417858725932559238e+00,-7.157727578191000362e+00,-3.580524067814661038e+01,-5.849352718356741754e+00,-5.209422053276591136e-01,-3.304730327057730399e+00,-1.430756967093475751e+01
-9.808540558408939347e+00,-5.812297274999603580e+00,-7.722295537671588050e+00,-9.491232229177636981e+00,-1.195931479911495465e+01,-5.837616898183921599e+00,-1.419525535762367063e+01,-1.140134028161148194e+01,-5.799450811664691230e+00,-1.058173589623859812e+01
