-3.173309892056181880e+01,-3.310954913524065546e+01,-4.211834097653530051e+01,-3.576072754339654836e+01,-4.380156233764002138e+01,-2.720958719454858254e+01,-3.562764020882300997e+01,-3.263224231646947260e+01,-3.989728396432229829e+01,-2.349305311039763922e+01,-3.188146746708240187e+01,-3.132886502215441382e+01,-3.790090626061725487e+01,-2.998869115678623487e+01,-4.192105058696106568e+01,-2.701946285884776344e+01,-5.141456379974316349e+01,-2.654539367536193595e+01,-2.744179248423381523e+01,-3.051198801210585287e+01,-4.149803542340011120e+01,-3.254762011366231178e+01,-2.695469601138258042e+01,-2.985410030967909378e+01,-3.275351737162998234e+01,-2.955738070065459766e+01,-4.056314587079238976e+01,-5.007969844909210622e+01,-3.332028728608144519e+01,-2.960988213331335572e+01,-5.010036361898769997e+01,-2.820501362177357052e+01,-2.440774781744144306e+01,-2.560367463619029849e+01,-3.875534091185119934e+01,-2.794903028318052662e+01,-2.929036033269811767e+01,-3.282314784969672417e+01,-3.165779470215783320e+01,-3.648492956967893264e+01,-2.699236643736600882e+01,-2.790390326160144241e+01,-2.786532654665107245e+01,-3.319764624729467073e+01,-2.689585028939603006e+01
-2.782941249554952634e+01,-2.970063667428063070e+01,-2.435225038253791041e+01,-3.448577425026015675e+01,-2.406998301201396018e+01,-1.736864395061196120e+01,-2.852679096438157202e+01,-1.913097754228439129e+01,-1.429364753392270693e+01,-2.278214083282183111e+01,-2.532817084036719990e+01,-2.414088429627587118e+01,-3.216864254270784329e+01,-1.757780244255635438e+01,-2.362961641387935430e+01,-2.433067304186506163e+01,-2.967595665694812368e+01,-2.048723536410578916e+01,-1.810486409021810061e+01,-1.820026016332711905e+01,-2.509368881687698405e+01,-3.187408272414080201e+01,-3.352932113974964068e+01,-2.990375526503224890e+01,-3.659622875771600548e+01,-2.824786619242720676e+01,-2.686664664961308802e+01,-2.808178942865735195e+01,-2.415285165025034431e+01,-2.976115366835733056e+01,-2.601066997850833218e+01,-2.138822770899295378e+01,-2.011692546759982037e+01,-2.432433680886311933e+01,-3.049081773025987374e+01,-2.762259366322554754e+01,-3.187560153174577238e+01,-2.831385146446478984e+01,-4.432856532984160935e+01,-2.571811544916446124e+01,-2.719816733047758106e+01,-2.023532244635864430e+01,-2.583964670387079110e+01,-2.324910231147535811e+01,-1.770368501595824995e+01
-1.950767949285160796e+01,-2.028287294728769297e+01,-1.557298825828881306e+01,-2.359205825610120044e+01,-1.533237010168046055e+01,-1.182103063138884380e+01,-2.340626522856506497e+01,-2.298352486958900442e+01,-1.064008264685965344e+01,-2.034248404441951408e+01,-1.786496709222370427e+01,-1.609225147262023725e+01,-2.945299285083491725e+01,-1.264258889956337484e+01,-1.458820421004543988e+01,-2.584873519344240478e+01,-2.794060485994450005e+01,-1.474103777228567225e+01,-3.007969373836684923e+01,-1.653065830559122062e+01,-2.005443625981232003e+01,-1.871471756579918733e+01,-2.532024713335996324e+01,-2.397311358853034235e+01,-2.545228975547730954e+01,-2.998035370085194629e+01,-2.364442400764012220e+01,-3.139266660496453909e+01,-2.533790733801093609e+01,-1.980697204805785105e+01,-1.930246085181934035e+01,-1.546575675086764434e+01,-2.766835780131772538e+01,-1.664160190766663305e+01,-1.962589488957253891e+01,-2.363373621532726077e+01,-3.507419183738868895e+01,-2.307710295869182104e+01,-2.795529060376860642e+01,-1.908667711118435051e+01,-1.351860816973412582e+01,-1.760707819301577004e+01,-3.130834367002506724e+01,-1.779125193688721751e+01,-1.556584747650297906e+01
-9.903562478416427339e+00,-2.597935981070800437e+01,-1.198024735757183734e+01,-1.498990981637984632e+01,-2.524280931278466866e+01,-1.517973794903492113e+01,-1.611016383790223827e+01,-2.897754016347306916e+01,-1.656003900647657545e+01,-1.201524326410581622e+01,-1.378678451350715051e+01,-1.784583740174253919e+01,-1.812219956561527923e+01,-1.597175718075142825e+01,-2.400462689792566806e+01,-1.141304915337311776e+01,-1.479495147273159006e+01,-1.625901187189899133e+01,-1.952348185110874113e+01,-1.662383122116851553e+01,-2.004220052931188079e+01,-1.562349685611733463e+01,-1.951173293877315373e+01,-3.030208202695238739e+01,-3.001542295013112849e+01,-1.485240070472724838e+01,-2.031511257114029689e+01,-3.303200779867110981e+01,-3.282000046076071698e+01,-1.438297890801711176e+01,-1.842762204651472402e+01,-1.763593889275831117e+01,-1.908080464087515793e+01,-1.663158216480385931e+01,-1.549802095342774777e+01,-1.889556115752480636e+01,-3.140810549993041434e+01,-2.777095019500550421e+01,-2.519250363267602211e+01,-1.482878975653930809e+01,-7.674647201979198918e+00,-1.478271476633796411e+01,-1.665160449860813330e+01,-2.086840754869955816e+01,-1.623713817811800197e+01
-8.232227274314753984e+00,-1.351092602378864349e+01,-1.254624624472204886e+01,-1.222053916568150456e+01,-1.634626413310390802e+01,-1.731284487031808084e+01,-1.815111945277307726e+01,-1.804062985802853447e+01,-2.399011236444064465e+01,-3.145855284874608415e+01,-1.114701033594476343e+01,-3.458605316398302421e+01,-2.928763353758403554e+01,-1.626373516610651748e+01,-1.343501385863482867e+01,-1.343730159189542306e+01,-1.519370626083897591e+01,-2.209250374982160992e+01,-3.506414840993011239e+01,-2.289530691791548378e+01,-1.583817312772421815e+01,-1.769176251476010009e+01,-1.793523051503984078e+01,-1.370295539992991607e+01,-1.424778967836771493e+01,-1.175161452480453050e+01,-1.386740952135647476e+01,-1.761977177740159561e+01,-2.158544692789970654e+01,-1.114229692418297013e+01,-1.281844853013250685e+01,-1.217080574632245948e+01,-3.128923047920819300e+01,-1.400526164450714006e+01,-2.112558177674810267e+01,-1.600851280755663097e+01,-2.875050817635917610e+01,-2.663867018849360946e+01,-3.109781120802043475e+01,-1.656531131277437296e+01,-1.009675670855759577e+01,-2.225392616291415138e+01,-1.134929188367274477e+01,-1.583900815067623746e+01,-1.869340904783324575e+01
-1.337796708827037051e+01,-2.036266398599351390e+01,-2.138333310668819465e+01,-1.454196266186065500e+01,-2.078207358196993937e+01,-1.091531988314014257e+01,-1.523277350192869051e+01,-1.297994142650216176e+01,-1.873496218382070211e+01,-9.295864034552659305e+00,-1.531994116913387671e+01,-2.543615475474680210e+01,-2.153755429681986300e+01,-2.109955218216725470e+01,-1.034972010312563917e+01,-3.273429628444113604e+01,-2.765943081360505929e+01,-1.235480265852291382e+01,-2.810313516523491018e+01,-3.178403349104848985e+01,-2.573519937349394837e+01,-1.981239183976764906e+01,-1.540920423109213111e+01,-1.746425846028769158e+01,-1.293147031754962661e+01,-1.689474143065201517e+01,-1.690501255504134193e+01,-1.192193752042706123e+01,-1.410084099750104514e+01,-1.129726312213277239e+01,-1.716361799131110999e+01,-1.050493781291413598e+01,-3.064909944121153984e+01,-8.189661942696229602e+00,-1.985309938811610664e+01,-1.608377842655072243e+01,-3.185994259252169769e+01,-2.823983054578116025e+01,-3.046597828246953554e+01,-2.482170619491237318e+01,-1.465945148309124946e+01,-1.239877406049112452e+01,-1.431029587258390912e+01,-1.493317204794481512e+01,-2.204102854823117852e+01
-2.542756936453594108e+01,-2.470220046834607075e+01,-2.041231349164261744e+01,-1.216109004544708228e+01,-1.277027347078211861e+01,-1.165306070353891954e+01,-1.280466856475845105e+01,-1.269116169098220048e+01,-1.258815560163938763e+01,-8.570043136120480298e+00,-2.121244852880147747e+01,-1.927985502782921401e+01,-1.908526924847268802e+01,-1.382453180433850903e+01,-1.350931493444098841e+01,-2.118147044822195113e+01,-1.795628614900607900e+01,-1.547891942118571684e+01,-1.732012768596061747e+01,-2.103487139039456721e+01,-1.814081485704182839e+01,-2.037630640130362281e+01,-1.576746735239455788e+01,-3.195789264065009405e+01,-1.463663501484878005e+01,-2.772226294894954179e+01,-1.244982669456994984e+01,-2.333561695808508674e+01,-1.443181086232167942e+01,-1.211493625294302490e+01,-1.893603077017566605e+01,-1.577183201323929751e+01,-2.913295185634617468e+01,-7.693059142221915003e+00,-1.373849230698444224e+01,-1.796569976834292959e+01,-2.532651490120507276e+01,-2.840686256409874844e+01,-2.651422242524580142e+01,-2.031545904167301941e+01,-1.418417025245565100e+01,-1.045165411093959662e+01,-1.671554067347598505e+01,-1.543867692244701395e+01,-2.172424209453272681e+01
-1.626757557029786483e+01,-1.710062680804534807e+01,-1.908420356083285085e+01,-1.021715301233991369e+01,-1.050529985068998151e+01,-1.419591291124759991e+01,-1.318315906885652922e+01,-1.707845638024383206e+01,-2.060366775624451563e+01,-1.374384920556077638e+01,-1.636369883880098186e+01,-1.878754596930863130e+01,-2.145658350676244552e+01,-1.141524239389506690e+01,-1.593866004215199972e+01,-1.773305212091209881e+01,-1.900303236312058885e+01,-1.659060925137054454e+01,-1.919624343868604655e+01,-1.005490725891660730e+01,-1.881054289745735986e+01,-1.461740447647389196e+01,-1.625722062532947376e+01,-2.811332160302577066e+01,-2.278426061290977600e+01,-2.551989521179065079e+01,-7.194736902076744656e+00,-1.340634087284269249e+01,-1.588995910080712193e+01,-1.414290860886162093e+01,-1.732592868030115341e+01,-1.212139880966405414e+01,-2.133685808046536181e+01,-1.242150052438430663e+01,-1.795429171789205469e+01,-1.456545089270694149e+01,-2.150723484740449010e+01,-1.948490464564071445e+01,-2.709122676100118099e+01,-1.960284643053564935e+01,-1.045600091514339169e+01,-1.449910582210569032e+01,-2.402924760581395702e+01,-1.873227590785790397e+01,-1.597267990145203420e+01
-9.466307280710179128e+00,-1.028662990269385347e+01,-1.753649458466477284e+01,-9.706166618421573133e+00,-1.402887933686140620e+01,-1.625906395036787444e+01,-1.748230920195780058e+01,-2.939605148437325255e+01,-1.600868533589684972e+01,-1.472217667799427865e+01,-1.973698234818280994e+01,-2.434921834118137696e+01,-1.448461465960358119e+01,-9.751692802800373983e+00,-1.653846834825248280e+01,-2.141168525030936465e+01,-1.501595253782090822e+01,-1.299048814897673054e+01,-1.694921121511370643e+01,-7.771930500349965243e+00,-1.710341432088053892e+01,-1.822925872521242141e+01,-1.688634477776389886e+01,-2.359089352311167787e+01,-1.957856259172119451e+01,-2.162988963375558171e+01,-8.627120194457083002e+00,-1.354585200567744963e+01,-1.011843586887635382e+01,-1.185382530908090537e+01,-1.600248450261451438e+01,-1.242388921990363215e+01,-2.800603203456890711e+01,-2.135977507291570632e+01,-1.512278996894700001e+01,-1.773508455109746862e+01,-2.717194694019981682e+01,-1.703952811982102489e+01,-2.366722300593751882e+01,-1.463434893308638607e+01,-1.093335703998949349e+01,-1.793919044254550599e+01,-2.545534939667848562e+01,-1.709231730902495627e+01,-1.182296386977080971e+01
-1.049855619449025390e+01,-9.245602286660313140e+00,-1.380482849494650566e+01,-1.532826189486634050e+01,-1.775720798524838884e+01,-2.262321752850869672e+01,-1.810882357973560985e+01,-2.624120478915961741e+01,-2.674414595112654069e+01,-2.096715128645958259e+01,-1.749528795778653034e+01,-1.657213456707535926e+01,-9.262337744834333364e+00,-1.381857073079138942e+01,-1.163716138517116860e+01,-3.249915425819018111e+01,-1.142653048861870424e+01,-1.304869982028325026e+01,-2.222347473821579911e+01,-1.130666906970124330e+01,-1.166247318938391508e+01,-2.118121502588893534e+01,-1.640071002289851876e+01,-2.004163365196550473e+01,-1.072902566036288796e+01,-1.810163886117525678e+01,-1.626644033171157133e+01,-1.687098044680759301e+01,-1.198996507158195257e+01,-1.061322497144916888e+01,-1.310053867075949618e+01,-1.606461225373190516e+01,-1.618673125188725237e+01,-1.691664963681622424e+01,-2.082240031951233306e+01,-2.023640220154623748e+01,-1.725708956974206387e+01,-2.018402749430718757e+01,-2.036085687938360778e+01,-1.454421509348884811e+01,-1.199278861696129361e+01,-1.480279505213874458e+01,-1.195437311021947835e+01,-1.616421892836831020e+01,-1.145109119964878630e+01
