-3.383236045176336404e+01,-2.698065414835326337e+01,-2.593823890639784224e+01,-4.703551673550725809e+01,-1.936627536394725269e+01,-3.959392337894098546e+01,-1.847218922923562090e+01,-2.431947741567288546e+01,-2.444451541075486745e+01,-2.566574168180209981e+01,-2.337937637264132462e+01,-2.921931635536823535e+01,-3.254403855130335899e+01,-3.313504276179095598e+01,-2.201013690341612516e+01,-2.147824763545573390e+01,-2.766272870145579077e+01,-3.115220276346338935e+01,-2.589694896131769042e+01,-2.605180163931397885e+01,-2.240636335717676531e+01,-2.365067574899589076e+01,-3.352083175861079667e+01,-3.150979133509297014e+01,-2.154275064164949427e+01,-2.308093527608539475e+01,-2.564086337528859261e+01,-3.364609557720790178e+01,-2.034040013800872160e+01,-2.296394434757041125e+01,-2.293890839972409523e+01
-2.078030070375503868e+01,-1.967370183660742811e+01,-1.839921935149656562e+01,-2.631869564729184319e+01,-1.683325861861923300e+01,-1.096391937073670952e+01,-1.114636438259354634e+01,-1.542659949798803787e+01,-2.667696968441713778e+01,-1.383019167936301308e+01,-1.660850156169882652e+01,-3.994120645277457271e+01,-1.024915261621421081e+01,-1.392475315902112953e+01,-2.954090766199886176e+01,-2.240924246119796592e+01,-2.670731182923465141e+01,-1.781982638805428820e+01,-3.102012117791637991e+01,-1.677632963180317560e+01,-2.803832763818276419e+01,-2.016877656501545601e+01,-1.198589171961557298e+01,-2.650925303010062706e+01,-2.438515517314098702e+01,-3.171187767774388533e+01,-2.830002070111582313e+01,-2.306958440426278401e+01,-1.554143987945116478e+01,-3.268278889541563359e+01,-1.188331463074090522e+01
-1.787178070486205428e+01,-1.164158895879132771e+01,-1.843137599051786069e+01,-5.598157294142395379e+00,-1.600390978435121880e+01,-8.221766142620630546e+00,-9.173520571880519725e+00,-9.242773540142025013e+00,-1.955346015158433204e+01,-6.251867239141421173e+00,-1.639507584722338507e+01,-1.610670903943745813e+01,-1.131696134256910469e+01,-9.265991850440961741e+00,-1.000958829313979948e+01,-2.321486773740784315e+01,-1.574008356545721021e+01,-2.372664505912524291e+01,-1.317893707949711057e+01,-2.013657680711853359e+01,-1.504180728101208508e+01,-8.774959401357449451e+00,-1.295654210368264714e+01,-1.469796348946266384e+01,-1.873230033577968712e+01,-1.715273754510007009e+01,-2.299342385322109550e+01,-1.083740197402026162e+01,-1.059559493877588210e+01,-1.594872473800344892e+01,-8.771187532903786277e+00
-3.233537048789351331e+00,-7.424552859257662618e+00,-8.693261075013850814e+00,-1.049550768723336347e+01,-7.723907457788802056e+00,-1.529597265794912531e+01,-3.735395192218579297e+00,-1.505170459585413667e+01,-8.302066662058763313e+00,-8.783791910123889934e+00,-4.806194728920830883e+00,-9.378073325105509284e+00,-1.010566217284253909e+01,-9.705391369937373724e+00,-1.515698035891658435e+01,-1.152347486035880664e+01,-1.839488210906493038e+01,-1.143238585542213670e+01,-1.752175683186174737e+01,-2.268658883769388979e+01,-9.478381481461223501e+00,-9.322685643600722827e+00,-8.700121509596632663e+00,-8.493054482067135424e+00,-1.560782824984548256e+01,-2.195415545625065690e+01,-1.636823265935615268e+01,-2.919363703201474092e-01,-1.096328006025332691e+01,-7.657009377777459491e+00,-9.498058521057144432e+00
-1.424121117917317436e+00,-3.826675159766442125e+00,-5.324704309289622906e+00,-1.930570080900107399e+01,-1.547939787284879287e+01,-1.175032927859913556e+01,-1.643052437637219398e+01,-5.788868109881044610e+00,-2.422941845065534139e+01,-7.392866654325871423e+00,-4.635136140782753600e+00,-5.747411950176790185e+00,-1.565820259965248340e+01,-1.337695584730787424e+01,-6.975496350114932298e+00,-1.019003048811684842e+01,-5.819984206374934743e+00,-3.719675577526687427e+00,-1.408358114880416956e+01,-1.898714956932555609e+01,-4.315526111416102317e+00,-5.825782361251103048e+00,-1.105329469493692862e+01,-1.181074065634798842e+01,-1.021539402096591509e+01,-2.053491944558498616e+01,-1.945470747484559837e+01,-2.659816383867672940e+00,-8.504308124683028325e+00,-4.413880068954830094e+00,-1.371029227487873570e+01
-7.210638885582762114e+00,-1.515502479730670515e+01,-8.540477731162491537e+00,-4.320052174156826297e+00,-6.916031553786613273e+00,-7.869096263626898846e+00,-2.330547979220693122e+00,-9.488364991309065744e+00,-1.728596301573709937e+01,-1.958591952859321950e+01,-1.100089405498768436e+01,-1.194758782812258069e+01,-1.120569303495344471e+01,-2.107683647964632456e+01,-9.899434409579290772e+00,-8.764589813933989504e+00,-5.568362926991587081e+00,-8.004732547608671922e+00,-5.443436542709760850e+00,-6.496092012785544156e+00,-8.105166624595009139e+00,-2.855650443521566384e+00,-7.754907551366583718e+00,-1.247312002493076477e+01,-9.846508356972815790e+00,-2.391512532428712845e+01,-1.911183329309985623e+01,-7.148293898435222893e+00,-4.059606414873842439e+00,-1.311301209422395786e+01,-1.425767785747019012e+01
-2.326759508802396681e+01,-1.978955363325887973e+01,-5.479942980847802403e+00,-1.865499036649132414e+00,-7.739474482628900809e+00,-4.060559167375960676e+00,-1.288884130293319386e+00,-2.243670690006389634e+01,-1.166580552535410220e+01,-4.748656616134335984e+00,-1.901785130992168149e+01,-1.084115668358157691e+01,-8.274943791753802458e+00,-1.884297326909583603e+01,-1.603659567431603250e+01,-1.027296693839481989e+01,-1.105171120381567107e+01,-1.333739592187836465e+01,-7.168165412037412310e+00,-6.351917027320739706e+00,-7.332093254065581434e+00,-1.815981264161951358e+01,-8.942541925308953310e+00,-2.054662951127947501e+00,-1.214031797194330053e+01,-1.824137180190190932e+01,-1.764405513893685296e+01,-2.279283553839820087e+01,-4.624996745453983316e+00,-7.660703984146994827e+00,-1.892261097007567372e+01
-1.399263829269692749e+01,-8.326381954484997294e+00,-4.883344017623868716e+00,-5.198463115328074480e+00,-5.419562370719834377e+00,-5.942965140780902544e+00,-7.000713016722773574e+00,-8.851608241580475323e+00,-8.662792706621031513e+00,-8.997434382755066906e+00,-8.699933548138623962e+00,-1.162436718806454827e+01,-1.687443796370271798e+01,-3.156730263377388823e+00,-9.354389389538145139e+00,-8.527341567135767519e+00,-1.593015603037084382e+01,-1.173535713736522013e+01,-1.964419928258747672e-01,-1.672088209880887888e+01,-6.440292406492310384e+00,-6.061540303514970418e+00,-8.383932382839194730e+00,-1.714006660210928246e+01,-8.568187688790240841e+00,-1.137114367416831229e+01,-2.079453570643510218e+01,-4.943256791290490781e+00,-8.233171808224081900e+00,-2.644780681694960478e+01,-9.718350947952439256e+00
-1.500023806769939405e+00,-1.176719602111578489e+01,-1.905719691932337367e+00,-6.142674186154778226e+00,-8.850040660633105460e+00,-1.488806127492007292e+01,-8.124182816194867485e+00,-1.348244432130964654e+01,-9.918667096311368780e+00,-1.727506245006400043e+00,-1.804351348595823268e+01,-6.372874476424724932e+00,-6.793851905113278633e+00,-1.307600897164233889e+00,-6.778804399914010403e+00,-1.172849835499000903e+01,-1.352304427535821318e+01,-1.333141897832150313e+01,-8.343909799045835740e+00,-2.835895455240067253e+00,-5.943330899393000522e+00,-5.965407806401362478e+00,-2.608017941421368135e+01,-1.024119236184067461e+01,-1.172618320667218050e+01,-8.893354808390213861e+00,-1.469126611439262042e+01,-2.941557858045551477e+00,-1.187390126119163369e+01,-2.356703249499084407e+01,-4.215411960766182631e+00
-2.675631851977235964e+00,-9.092760825530337598e+00,-9.973402292958406079e+00,-7.504680147021733916e+00,-1.630495526682665286e+01,-1.786853879884798957e+01,-1.629150937602774007e+01,-1.193862955365282197e+01,-2.100051686824620845e+00,-5.900248068391961809e+00,-1.305047186317140451e+01,-6.182516911514013280e+00,-1.156088070973456716e+01,-5.583516232217915487e+00,-5.046195460259371934e+00,-1.007390982705087801e+01,-5.996712736412781908e+00,-1.478767079915957794e+01,-1.100493684644329839e+01,-6.279588574345797092e+00,-4.648655257921252115e+00,-1.207750694468805897e+01,-7.118438538012744843e+00,-1.030729144937211750e+01,-1.371607816286311987e+01,-3.113746838395465844e+01,-1.631726518513452362e+01,-1.776348382879328369e+01,-1.137107804716965198e+01,-5.953398435133704147e+00,-5.299706474438340642e+00
