1.392,106.725
235.717,317.627
340.336,419.131
454.469,532.581
675.269,755.131
902.896,1006.437
1139.440,1293.669
1367.408,1432.720
1486.064,1591.056
1641.456,1732.795
1861.232,1937.040
1984.752,2054.459
2092.869,2197.733
2312.560,2401.467
2444.016,2552.976
2688.453,2770.235
2936.432,2991.589
3026.928,3098.811
3234.715,3344.400
3518.277,3595.877
3700.592,3792.827
3850.309,3953.851
4098.587,4189.243
4305.520,4388.240
4421.019,4509.840
4534.939,4615.355
4694.512,4796.987
4932.976,5011.643
5179.760,5241.531
5332.763,5414.331
5484.571,5563.195
5683.227,5745.211
5782.341,5843.899
5877.403,6004.965
6094.875,6175.675
6216.091,6270.053
6341.915,6418.917
6556.827,6684.517
6750.491,6843.152
6896.240,6958.736
7059.440,7165.029
7324.315,7380.581
7488.709,7581.371
7658.779,7746.789
7866.096,7945.659
7987.099,8059.920
8148.379,8218.725
8376.731,8473.787
8627.525,8685.712
8786.971,8858.640
8973.083,9074.448
9116.571,9174.971
9248.581,9306.725
9353.243,9414.800
9447.792,9511.184
9548.699,9606.117
9744.667,9818.981
9868.741,9944.421
10055.152,10113.381
10284.613,10339.856
10497.563,10563.429
10657.093,10744.720
10810.096,10879.461
10964.805,11068.347
11199.941,11289.957
11387.888,11469.029
11619.483,11703.440
11840.027,11924.965
12086.811,12146.107
12278.981,12351.589
12452.336,12513.765
12627.781,12686.779
12719.472,12812.347
12973.680,13093.776
13114.779,13171.131
13244.315,13317.648
13396.251,13502.992
13572.251,13679.461
13837.808,13911.397
14045.168,14133.776
14192.411,14299.152
14319.728,14382.907
14491.120,14579.600
14616.389,14670.779
14726.896,14839.099
14908.059,14995.429
15034.267,15175.013
15291.931,15356.005
15515.717,15607.227
15766.043,15854.267
15950.149,16050.235
16094.661,16160.528
16295.280,16383.547
16557.125,16636.944
16792.731,16850.064
16977.136,17080.677
17254.341,17345.125
17478.597,17555.515
17683.013,17787.067
17951.771,18023.099
18162.288,18227.003
18347.675,18401.893
18476.912,18548.837
18721.435,18805.520
18960.027,19009.253
19136.453,19190.843
19232.411,19336.336
19423.003,19534.096
19617.819,19667.259
19692.955,19747.088
19771.291,19849.019
19957.872,20023.568
20129.563,20210.917
20359.621,20442.085
20472.731,20561.893
20712.731,20817.851
20944.283,21014.075
21120.709,21177.232
21316.805,21392.955
21522.501,21582.011
21627.120,21704.123
21868.656,21997.029
22125.723,22206.139
22270.405,22352.869
22522.224,22577.083
22627.269,22733.883
22795.973,22856.165
22996.208,23056.955
23104.752,23197.797
23338.693,23435.877
23529.243,23599.077
23766.213,23823.632
23986.587,24048.357
24148.677,24230.459
24264.133,24338.704
24427.845,24513.936
24659.269,24735.760
24793.413,24877.413
24910.789,25032.507
25130.096,25265.083
25341.808,25400.379
25427.483,25508.965
25675.803,25730.875
25822.320,25880.123
25992.176,26049.893
26128.795,26205.413
26273.904,26367.717
26516.635,26574.437
26675.739,26802.021
26836.635,26901.861
27057.221,27133.456
27205.403,27268.923
27420.443,27496.165
27547.461,27642.043
27678.917,27774.267
27839.813,27928.763
28034.757,28092.304
28204.528,28291.856
28382.235,28453.477
28489.925,28588.219
28660.763,28711.781
28836.293,29035.920
29111.664,29200.784
29352.816,29472.443
29591.408,29732.283
29792.709,29889.083
29966.363,30061.712
30135.493,30194.235
30278.043,30333.243
30465.520,30558.651
30701.339,30833.509
30909.637,30998.501
31165.851,31219.899
31301.488,31356.133
31467.803,31527.227
31594.224,31688.123
31736.859,31827.685
31942.299,32005.008
32047.045,32185.701
32355.611,32416.357
32555.803,32618.469
32742.427,32862.011
32903.792,32972.304
33072.837,33139.643
33168.624,33276.347
33402.523,33454.309
33624.603,33715.045
33810.757,33881.189
34047.643,34156.987
34212.720,34316.176
34418.501,34470.501
34635.291,34735.589
34827.461,34928.869
34966.853,35054.224
35227.035,35284.325
35383.237,35447.227
35597.296,35661.968
35712.624,35777.509
35931.973,36003.344
36163.781,36235.195
36355.653,36416.741
36476.528,36539.621
36694.811,36792.763
36923.973,36997.221
37112.987,37199.333
37231.771,37294.181
37444.037,37507.557
37556.208,37648.528
37756.229,37817.616
37918.448,38004.027
38027.973,38113.808
38200.475,38255.888
38277.232,38349.200
38374.213,38457.445
38498.203,38581.307
38618.949,38703.333
38854.939,38963.003
39013.232,39078.885
39108.891,39166.693
39305.584,39393.680
39444.635,39532.859
39588.080,39646.053
39706.480,39776.272
39887.899,39963.365
40061.595,40156.091
40216.731,40300.091
40465.776,40531.941
40623.472,40715.621
40844.571,40925.115
41007.941,41057.211
41225.627,41292.389
41453.467,41545.659
41619.141,41688.763
41778.117,41832.037
41941.701,42043.365
42181.189,42259.472
42282.267,42341.307
42472.432,42545.381
42636.784,42723.216
42882.757,42998.459
43061.232,43138.747
43233.264,43304.123
43413.232,43514.981
43539.483,43605.349
43647.387,43708.901
43743.387,43803.067
43885.936,43977.104
44001.733,44065.723
44187.291,44320.955
44397.339,44489.189
44622.875,44692.112
44715.632,44769.040
44897.179,44957.243
44985.072,45073.851
45239.067,45340.859
45435.504,45547.621
45598.917,45656.421
45706.480,45835.707
45894.768,45971.643
46073.371,46127.291
46220.613,46301.925
46411.419,46499.259
46633.541,46727.397
46765.765,46880.357
46963.824,47048.507
47135.728,47190.245
47288.176,47358.096
47460.293,47538.960
47572.123,47660.261
47813.317,47898.213
48053.829,48157.157
48196.251,48299.280
48429.381,48491.579
48656.325,48705.509
48757.275,48830.907
48948.763,49045.691
49153.776,49257.616
49365.104,49455.632
49521.051,49617.595
49752.176,49821.925
49883.248,49973.904
50132.208,50196.752
50325.701,50386.107
50495.728,50569.787
50705.648,50756.795
50788.891,50882.832
50993.989,51063.483
51197.595,51280.229
51417.584,51523.685
51595.419,51684.197
51811.184,51888.699
51933.979,51998.523
52063.429,52126.480
52215.963,52272.357
52299.120,52358.245
52381.979,52449.893
52558.448,52611.856
52661.019,52762.853
52855.664,52935.781
53038.363,53140.581
53272.859,53391.845
53539.525,53610.128
53640.005,53739.835
53798.939,53865.104
54031.003,54131.643
54267.760,54323.984
54424.859,54505.360
54661.488,54732.773
